institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-693684461,NALANDA INSTITUTE OF TECHNOLOGY,"BUDHIST VILLA, CHANDAKA G.P",KHORDHA,Unaided - Private,N,N,1-422675541,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-695253201,DHANESWAR RATH INSTITUTE OF ENGINEERING & MANAGEMENT STUDIES (DIPLOMA ENGINEERING),"AT-KAIRAPARI
PO-KOTSAHI
(TANGI)
DIST-CUTTACK
ORISSA-754022",CUTTACK,Unaided - Private,N,N,1-483811564,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-693735721,"GANDHI INSTITUTE FOR TECHNOLOGICAL ADVANCEMENT (GITA), BHUBANESWAR","AT: BADARAGHUNATHPUR,
PO: MADANPUR
VIA: JAANLA",KHORDHA,Unaided - Private,N,N,1-5947321,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-698267551,BIT POLYTECHNIC,"TECHNO CAMPUS,
ARMALA,
SOMANATHPUR,
BALASORE,
ORISSA",BALASORE,Unaided - Private,N,N,1-476895581,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-715120332,KOUSTUV SCHOOL OF ENGINEERING,"PLOT NO-2, SECTOR-B,
CNI COMPLEX,CHANDRASEKHARPUR",KHORDHA,Unaided - Private,N,N,1-426739571,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-715068684,ORISSA SCHOOL OF MINING ENGINEERING,"ORISSA SCHOOL OF MINING ENGINEERING
AT/PO- KEONJHAR
DIST. - KEONJHAR
PIN - 758001",KENDUJHAR (KEONJHAR),Government,N,N,1-522269491,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-774068392,ORISSA SCHOOL OF ENGINEERING,BANTHAPALLI,GANJAM,Unaided - Private,N,N,1-458364331,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-716145392,GANAPATI INSTITUTE OF ENGINEERING & TECHNOLOGY (POLYTECHNIC),"GOPINATH PUR, MATHASAHI, BHIARPUR. JAGATPUR",CUTTACK,Unaided - Private,N,N,1-462302433,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-715107455,BALASORE COLLEGE OF ENGINEERING AND TECHNOLOGY,"SERGARH
BALASORE
ORISSA
PIN-756060",BALASORE,Unaided - Private,N,N,1-11958015,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-715194464,GANDHI INSTITUTE OF ENGINEERING AND TECHNOLOGY,"VILLAGE : GOBIRIGUDA, PO : KHARLING, TALUK : GUNUPUR, DISTRICT : RAYAGADA",RAYAGADA,Unaided - Private,N,N,1-7537381,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-716979787,UMA CHARAN PATNAIK ENGINEERING SCHOOL,"PRINCIPAL UCP ENGINEERING SCHOOL, BERHAMPUR, DIST: GANJAM",GANJAM,Government,N,N,1-484668241,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-715091532,SUBAS INSTITUTE OF TECHNOLOGY,"GYAN VIHAR
BARANG
BHUBANESWAR",KHORDHA,Unaided - Private,N,N,1-3890141,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-717908922,INSTITUTE OF MANAGEMENT AND INFORMATION TECHNOLOGY,"INSTITUTE OF MANAGEMENT AND INFORMATION TECHNOLOGY
PO.  SCB MEDICAL CAMPUS
BOSE CAMPUS
CUTTACK
ORISSA
INDIA
PIN 753007",CUTTACK,Government,N,N,1-3871966,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-717103352,"AJAY BINAY INSTITUTE OF TECHNOLOGY , CUTTACK","SECTOR-I,CDA , CUTTACK-753014",CUTTACK,Unaided - Private,N,N,1-5687186,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-717101313,"KEONJHAR SCHOOL OF ENGINEERING, KEONJHAR","AT - DIMBO (TENTULINANDA)
PO-DIMBO
DIST-KEONJHAR
ODISHA
PIN-758014",KENDUJHAR (KEONJHAR),Unaided - Private,N,N,1-475286551,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-717064442,KALINGA INSTITUTE OF ENGINEERING & TECHNOLOGY,F.C.PROJECT,JAJPUR,Unaided - Private,N,N,1-466937181,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-722572522,BHUBANESWAR INSTITUTE OF TECHNOLOGY,"INFOVALLEY, HARAPUR
BHUBANESWAR
PIN-752054
ODISHA",KHORDHA,Unaided - Private,N,N,1-6436511,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-697139901,"BHADRAK INSTITUTE OF ENGINEERING & TECHNOLOGY, BARAPADA, BHADRAK","AT/PO- BARAPADA, BHADRAK
DIST- BHADRAK
PIN - 756113
ORISSA, INDIA",BHADRAK,Unaided - Private,N,N,1-6081478,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-773397032,INTERNATIONAL INSTITUTE OF ENGINEERING & TECHNOLOGY,"406,
GLIMSES PALACE
BOMIKHAL",KHORDHA,Unaided - Private,N,N,1-7112621,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-757028823,SOPHITORIUM ENGINEERING COLLEGE,"IN FRONT ROAD OF COLLECTOR'S OFFICE, KHURDA, BANIATANGI, KHURDA, BHUBANESWAR, ORISSA,PIN-752060",KHORDHA,Unaided - Private,N,N,1-5914631,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-754870513,NIGAM INSITUTE OF ENGINEERING & TECHNOLOGY,"BARANGA
CUTTACK",CUTTACK,Unaided - Private,N,N,1-6315191,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-752725973,HI-TECH INSTITUTE OF ENGINEERING & MANAGEMENT,"N.H-5,
AT/PO - RANITAL DIST-BHADRAK PIN-756111
ORISSA.",BHADRAK,Unaided - Private,N,N,1-463825051,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-755612637,SATYA SAI SCHOOL OF ENGINEERING (DIPLOMA),"AT :SRIKONA
PO: PANJIBAG 
VIA: SUNHAT",BALASORE,Unaided - Private,N,N,1-463298351,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-753205372,INDUS COLLEGE OF ENGINEERING,"BARAKUDA HEIGHT
BHUBANESWAR
PIN-752050",KHORDHA,Unaided - Private,N,N,1-32291594,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-755526782,KALINGA POLYTECHNIC,"KOLAB CAMPUS
KIIT
PATIA",KHORDHA,Unaided - Private,N,N,1-475257681,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-752966269,OXFORD SCHOOL OF POLYTECHNIC (DIPLOMA),"AT- RAMACHANDRAPUR, PO- BHATAPATNA, PS-BALIANTA, BHUBANESWAR",KHORDHA,Unaided - Private,N,N,1-457404111,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-753166652,INDUS SCHOOL OF ENGINEERING,BARAKUDA HEIGHTS,KHORDHA,Unaided - Private,N,N,1-467939061,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
1-752968834,DIVINE INSTITUTE OF ENGINEERING & TECHNOLOGY (POLYTECHNIC),"PODA ASTIA,
BARIPADA",MAYURBHANJ,Unaided - Private,N,N,1-476551631,fetchdata,2012-2013,Engineering and Technology,1,1,1,1,Orissa,1
