institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-1364702922,"GIRIJANANDA CHOWDHURY INSTITUTE OF MANAGEMENT AND TECHNOLOGY (GIMT), TEZPUR","VILL : DEKACHUBURI AND KUNDABOURI
MOUZA : HALLESWAR
P.O.: TEZPUR
DIST : SONITPUR
STATE : ASSAM
PIN : 784001",SONITPUR,Unaided - Private,N,N,1-407452351,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1506069515,BINESWAR BRAHMA ENGINEERING |COLLEGE,CHANDRAPARA,KOKRAJHAR,Government,N,N,1-623096411,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1372229773,DON BOSCO COLLEGE OF ENGINEERING AND TECHNOLOGY,"AIRPORT ROAD,
AZARA
GUWAHATI 
781017",KAMRUP,University Managed,N,N,1-40338531,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1531577854,DOWN TOWN GROUP OF INSTITUTIONS,"SANKAR MADHAB PATH, GANDHINAGAR,PANIKHAITI",KAMRUP,Unaided - Private,N,N,1-3867785,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1351505171,ASSAM ENGINEERING COLLEGE,"P.O.:- JALUKBARI
DIST:- KAMRUP(METRO)
ASSAM",KAMRUP METROPOLITAN,Government,N,N,1-538728541,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1345581762,GIRIJANANDA CHOWDHURY INSTITUTE OF MANAGEMENT AND TECHNOLOGY,"HATKHOWAPARA, AZARA, GUWAHATI-781017",KAMRUP METROPOLITAN,Unaided - Private,N,N,1-17097385,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1343522924,TEZPUR UNIVERSITY,"NAPAAM
TEZPUR - 784 028
DISTRICT  :  SONITPUR
ASSAM, INDIA",SONITPUR,Government,N,N,1-786387751,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1523471743,CENTRAL INSTITUTE OF TECHNOLOGY,"BALAGAON, BODOLAND TERRITORIAL COUNCIL, KOKRAJHAR, ASSAM-783370",KOKRAJHAR,Government,N,N,1-511484801,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1402609182,ASSAM TEXTILE INSTITUTE,"GNB ROAD.
AMBARI.",KAMRUP METROPOLITAN,Government,N,N,1-504424911,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1471473829,RESIDENTIAL GIRLS' POLYTECHNIC,PULIBOR,GOLAGHAT,Government,Y,N,1-521017041,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1581606392,ASSAM ENGINEERING INSTITUTE,"M.D. ROAD, CHANDMARI, GUWAHATI, ASSAM -781003",KAMRUP,Government,N,N,1-506425183,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1553145206,DIBRUGARH POLYTECHNIC,"LAHOWAL
DIBRUGARH",DIBRUGARH,Government,N,N,1-513935931,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1400491542,DIBRUGARH UNIVERSITY INSTITUTE OF ENGINEERING AND TECHNOLOGY,DIBRUGARH UNIVERSITY CAMPUS,DIBRUGARH,University Managed,N,N,1-492932031,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1449627472,JORHAT ENGINEERING COLLEGE,"GARMUR
JOORHAT",JORHAT,Government,N,N,1-496406701,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1469001282,CENTRAL INSTITUTE OF TECHNOLOGY,"BALAGAON, BODOLAND TERRITORIAL COUNCIL, KOKRAJHAR, ASSAM-783370",KOKRAJHAR,Government,N,N,1-508861131,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1400522193,NETES INSTITUTE OF TECHNOLOGY & SCIENCE MIRZA,"MIRZA
MIRZA 781125
DISTRICT KAMRUP
ASSAM",KAMRUP,Unaided - Private,N,N,1-4215441,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1407215997,SCHOLAR'S INSTITUTE OF TECHNOLOGY & MANAGEMENT,"VILL GOG, PO: GARCHUK",KAMRUP,Unaided - Private,N,N,1-3566561,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1427194282,NOWGONG POLYTECHNIC,"POLY ROAD,
PANIGAON,
NAGAON",NAGAON,Government,N,N,1-495212541,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1473676786,SILCHAR POLYTECHNIC,P.O.- MEHERPUR,CACHAR,Government,N,N,1-497258551,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1476940502,CENTRAL INSTITUTE OF PLASTICS ENGINEERING & TECHNOLOGY,"DEPT. OF CHEMICALS & PETROCHEMICALS, 
MINISTRY OF CHEMICALS & FERTILIZERS
GOVT. OF INDIA
PO-CHANGSARI",KAMRUP,Government,N,N,1-464123671,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1511763103,JORHAT INSTITUTE OF SCIENCE & TECHNOLOGY,"SATAI, CHENIAMGURI
P.O: CHENIJAN
JORHAT",JORHAT,Government,N,N,1-462592651,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1512163333,BONGAIGAON POLYTECHNIC,"BARSHAN GAON
BONGAIGAON
ASSAM",BONGAIGAON,Government,N,N,1-478166301,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1471043432,GYAN SAGAR FOUNDATION GROUP OF INSTITUTIONS,"BETKUCHI, OPP. TIRUPATI BALAJI TEMPLE, NH 37, GUWAHATI 781035",KAMRUP METROPOLITAN,Unaided - Private,N,N,1-3982193,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1493275197,"INSTITUTE OF SCIENCE AND TECHNOLOGY, GAUHATI UNIVERSITY","INSTITUTE OF SCIENCE AND TECHNOLOGY, GAUHATI UNIVERSITY, GUWAHATI-781014, ASSAM",KAMRUP,University Managed,N,N,1-506816551,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1510758630,PADMASHREE CHANDRAPRAVA SAIKIANI GIRLS' POLYTECHNIC,"BAMUNIMAIDAN
GUWAHATI-21
KAMRUP
ASSAM",KAMRUP,Government,Y,N,1-502588491,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1484708312,INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY GUWAHATI,"NH-37, JAWAHAR NAGAR, KHANAPARA, GUWAHATI-781022",KAMRUP METROPOLITAN,Government,N,N,1-494670781,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1508368323,TRIGUNA SEN SCHOOL OF TECHNOLOGY,"ASSAM UNIVERSITY (CENTRAL UNIVERSITY), SILCHAR",CACHAR,University Managed,N,N,1-778749174,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1489684672,JYOTI CHITRABAN FILM AND TELEVISION INSTITUTE,KAHILIPARA,KAMRUP,Government,N,N,1-518946111,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
1-1511519526,KU SCHOOL OF ENGINEERING TECHNOLOGY AND MANAGEMENT,"KORAIKHOWA GAON;
NH-37;
MOUZA-PARBATIA;
DIST-JORHAT",JORHAT,University Managed,N,N,1-849055451,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,Assam,1
