institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-1357629382,CAMELLIA SCHOOL OF ENGINEERING & TECHNOLOGY,"NADIBHAG, P.O. KAZIPARA, BARASAT, KOLKATA-700124",NORTH 24 PARGANAS,Unaided - Private,N,N,1-10735731,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,West Bengal,1
1-1364272248,"UNIVERSITY OF KALYANI, DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING","UNIVERSITY OF KALYANI
DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING ,
KALYANI, DIST.- NADIA,
WEST BENGAL,
PIN -741235",NADIA,University Managed,N,N,1-4703201,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,West Bengal,1
1-1361781743,MALLABHUM INSTITUTE OF TECHNOLOGY,"CAMPUS:
BRAJA-RADHANAGAR
P.O.- GOSAINPUR, P.S.-BISHNUPUR,
DIST.- BANKURA, PIN-722122.

CITY OFFICE:
266 B RASHBEHARI AVENUE, KOLKATA 700019.",BANKURA,Unaided - Private,N,N,1-3698321,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,West Bengal,1
1-1364646247,MODERN INSTITUTE OF ENGINEERING & TECHNOLOGY,"BAROL,MALIMPUR, RAJHAT. BANDEL-HOOGHLY, PIN-712123, WEST BENGAL",HOOGHLY,Unaided - Private,N,N,1-415342051,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,West Bengal,1
1-1364166092,"DEPARTMENT OF PHYSICS, THE UNIVERSITY OF BURDWAN","DEPARTMENT OF PHYSICS, 
THE UNIVERSITY OF BURDWAN, GOLAPBAG, BURDWAN, PIN 713104, WEST BENGAL",BARDHAMAN,University Managed,N,N,1-460765031,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,West Bengal,1
1-1357886112,"DR. B.C. ROY ENGINEERING COLLEGE, DURGAPUR","JEMUA ROAD, FULJHORE,DURGAPUR, 713206",BARDHAMAN,Unaided - Private,N,N,1-3634031,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,West Bengal,1
1-1366131322,GLOBAL INSTITUTE OF MANAGEMENT AND TECHNOLOGY,"PALPARA MORE,NH-34,BHATJANGLA,KRISHNAGAR,NADIA",NADIA,Unaided - Private,N,N,1-8256481,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,West Bengal,1
1-1357753553,ISWAR CHANDRA VIDYASAGAR POLYTECHNIC,"P.O- SEVAYATAN
P.S- JHARGRAM
DIST- PACHIM MEDINIPUR,
WEST BENGAL
PIN-721514",PASCHIM MEDINIPUR,Government,N,N,1-464508391,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,West Bengal,1
1-1597781495,GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING AND TECHNOLOGY,"VILL. & P.O. KOTWALI,
DIST. MALDA",MALDA,Govt aided,N,N,1-808250151,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,West Bengal,1
1-1366939452,BENGAL INSTITUTE OF TECHNOLOGY,"TECH TOWN, DHAPA MANPUR ON BASANTI HIGHWAY, PO-HADIA, KOLKATA - 700150",KOLKATA,Unaided - Private,N,N,1-4627612,fetchdata,2013-2014,Engineering and Technology,1,1,1,1,West Bengal,1
