institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-2067578301,DRONA'S POLYTECHNIC COLLEGE,KALAGAON; SAHASTRADHARA ROAD; PO DANDA LAKHOND; DEHRADUN,DEHRADUN,Unaided - Private,N,N,,fetchdata,2014-2015,Engineering and Technology,1,1,1,1,Uttarakhand,1
1-2012881459,LATE GENRAL BIPIN CHANDRA JOSHI GOVERNMENT RURAL POLYTECHNIC TAKULA,"TAKULA
ALMORA",ALMORA,Government,N,N,1-514226023,fetchdata,2014-2015,Engineering and Technology,1,1,1,1,Uttarakhand,1
1-2012890693,GOVERNMENT POLYTECHNIC SRINAGAR (GARHWAL),RISHIKESH BADRINATH ROAD SRINAGAR GARHWAL UTTARAKHAND,PAURI GARHWAL,Government,N,N,1-504844461,fetchdata,2014-2015,Engineering and Technology,1,1,1,1,Uttarakhand,1
1-2012880621,SIX SIGMA INSTITUTE OF TECHNOLOGY AND SCIENCE,"JAFARPUR - DINESHPUR ROAD,
POST OFFICE KHANPUR PURAB",UDHAM SINGH NAGAR,Unaided - Private,N,N,1-465541201,fetchdata,2014-2015,Engineering and Technology,1,1,1,1,Uttarakhand,1
1-2012876966,GOVERNMENT POLYTECHNIC GAUCHAR,GAUCHAR,CHAMOLI,Government,N,N,1-502739463,fetchdata,2014-2015,Engineering and Technology,1,1,1,1,Uttarakhand,1
1-2012881225,RUDRAPUR INSTITUTE OF TECHNOLOGY,"VILLAGE BHAGWANPUR,POST DANPUR, RUDRAPUR-KASHIPUR ROAD,",UDHAM SINGH NAGAR,Unaided - Private,N,N,1-728004151,fetchdata,2014-2015,Engineering and Technology,1,1,1,1,Uttarakhand,1
1-2010773473,GOVERNMENT POLYTECHNIC MALLA SALAM (ALMORA),"VILLAGE-KANARA
POST OFFICE- CHAIKHAN
VIA JALNA",ALMORA,Government,N,N,1-514683761,fetchdata,2014-2015,Engineering and Technology,1,1,1,1,Uttarakhand,1
1-2010758050,SMT. MANJIRA DEVI SHIKSHAN AND PRASHIKSHAN INSTITUTE,HITANU DHANARI,UTTARKASHI,Unaided - Private,N,N,1-473836921,fetchdata,2014-2015,Engineering and Technology,1,1,1,1,Uttarakhand,1
1-2010763401,UTTARAKHAND TECHNICAL UNIVERSITY,"UTTARAKHAND TECHNICAL UNIVERSITY, SUDDHOWALA, DEHRADUN, UTTARAKHAND",DEHRADUN,Government,N,N,1-772364381,fetchdata,2014-2015,Engineering and Technology,1,1,1,1,Uttarakhand,1
1-2010778995,THDC INSTITUTE OF HYDRO POWER ENGINEERING AND TECHNOLOGY,"C/O UTTARAKHAND TECHNICAL UNIVERSITY,SUDHOWALA,DEHRADUN AND THDC CAMPUS,BHAGIRATHI PURAM ,EHRI GARHWAL",TEHRI GARHWAL,University Managed,N,N,1-437101921,fetchdata,2014-2015,Engineering and Technology,1,1,1,1,Uttarakhand,1
1-2010665903,"RAMANAND INSTITUTE OF PHARMACY AND MANAGEMENT,HARIDWAR","NH-58,HARIDWAR-ROORKEE ROAD,NEAR GOVIND GARDEN,JAWALAPUR,",HARIDWAR,Unaided - Private,N,N,1-509208791,fetchdata,2014-2015,Engineering and Technology,1,1,1,1,Uttarakhand,1
1-2010765088,GOVERNMENT POLYTECHNIC BEERONKHAL,GOVERNMENT POLYTECHNIC BEERONKHAL,PAURI GARHWAL,Government,N,N,1-501005211,fetchdata,2014-2015,Engineering and Technology,1,1,1,1,Uttarakhand,1
1-2010717164,KUMAON ENGINEERING COLLEGE,VILL - SALANA / MALLI MIRAI,ALMORA,Govt aided,N,N,1-13937727,fetchdata,2014-2015,Engineering and Technology,1,1,1,1,Uttarakhand,1
1-2010725174,INSTITUTE OF PROFESSIONAL STUDIES,"DAYAL'S CITY,BEDHPUR BHAGWANPUR HARIDWAR BYPASS ROAD ROORKEE",HARIDWAR,Unaided - Private,N,N,1-1526331541,fetchdata,2014-2015,Engineering and Technology,1,1,1,1,Uttarakhand,1
1-2010725231,SWAMI DARSHNANANDA INSTITUTE OF MANAGEMENT AND TECHNOLOGY POLYTECHNIC,"SDIMT, GURUKUL MAHAVIDYALAYA, JWALAPUR, HARIDWAR",HARIDWAR,Unaided - Private,N,N,1-478370451,fetchdata,2014-2015,Engineering and Technology,1,1,1,1,Uttarakhand,1
1-2010732618,UTTARATECH POLYTECHNIC,"DHANAURI,",HARIDWAR,Unaided - Private,N,N,1-442128863,fetchdata,2014-2015,Engineering and Technology,1,1,1,1,Uttarakhand,1
1-2010717930,S.S.S.S.S.P.U.GOVERMENT POLYTECHNIC,"TEHSIL:- MOLEKHAL P.O.- AAMDHAR, SULT",ALMORA,Government,N,N,1-512009781,fetchdata,2014-2015,Engineering and Technology,1,1,1,1,Uttarakhand,1
