institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-2450943720,DR.M.V SHETTY INSTITUTE OF TECHNOLOGY,VIDYANAGAR N.H 13THODAR MIJAR POST MOODBIDRI MANGALORE TQ,DAKSHINA KANNADA,Unaided - Private,N,N,1-8842201,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2451001215,AMRUTA INSTITUTE OF ENGINEERING AND MANAGEMENT SCIENCES,"BIDADI INDUSTRIAL AREA, OFF MYSORE ROAD, NEAR TOYOTA KIRLOSKAR MOTORS, BMRDA REGION, BANGALORE",RAMANAGARA,Unaided - Private,N,N,1-3281811,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2450918421,DAYANANDA SAGAR COLLEGE OF ENGINEERING,"SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",BANGALORE URBAN,Unaided - Private,N,N,1-10575091,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2450937557,"B.L.D.E.A'S POLYTECHNIC, BIJAPUR - 03",ASHRAM ROAD,BIJAPUR,Unaided - Private,N,N,1-411302361,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2450946632,ANJUMAN POLYTECHNIC,"IDGAH MAIDAN,
AYODHYA NAGAR
OLD HUBLI",DHARWAD,Unaided - Private,N,Y,1-461022893,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2450968424,KALPATARU INSTITUTE OF TECHNOLOGY,"KALPATARU INSTITUTE OF TECHNOLOGY,
B.H.ROAD,
HASSAN CIRCLE,
TIPTUR-572202",TUMKUR,Unaided - Private,N,N,1-13347267,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2451004005,THE OXFORD COLLEGE OF ENGINEERING,"HOSUR ROAD,
BOMMANAHALLI,",BANGALORE URBAN,Unaided - Private,N,Y,1-5770711,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2451007282,VIVEKANANDA INSTITUTE OF TECHNOLOGY,"GUDIMAVU VILLAGE 
KENGERI(HOBLI)
NEAR KUMBALAGODU
BANGALORE",BANGALORE RURAL,Unaided - Private,N,N,1-12176161,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2450969194,MVJ COLLEGE OF ENGINEERING,"NEAR ITPB,
CHANNASANDRA,
KADUGODI POST,
BANGALORE",BANGALORE URBAN,Unaided - Private,N,Y,1-6536096,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2451008871,MOTHER THERESA POLYTECHNIC,"NEAR KSRTC BUS STAND
ANTHARAGANGA ROAD, KOLAR",KOLAR,Unaided - Private,N,N,1-699990243,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2451009073,JSS ACADEMY OF TECHNICAL EDUCATION,"JSSATE CAMPUS
UTTARAHALLI-KENGERI ROAD 
BANGALORE 560060
KARNATAKA",BANGALORE URBAN,Unaided - Private,N,N,1-6027111,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2450939525,"KLE DR. M. S. SHESHGIRI COLLEGE OF ENGINEERING AND TECHNOLOGY, BELGAUM","UDYAMBAGH, BELGAUM",BELGAUM,Unaided - Private,N,N,1-8845941,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2450941863,"B.L.D.E.A'S V.P DR P.G.HALAKATTI COLLEGE OF ENGG. & TECH., BIJAPUR-03","ASHRAM ROAD,
BIJAPUR - 586103",BIJAPUR,Unaided - Private,N,N,1-4736974,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2450949991,GOVT TOOL ROOM AND TRAINING CENTRE-KOLAR,"GOVT TOOL ROOM & TRAINING CENTRE OLD DIC BUILDING PREMISES, KATTARIPALYA KAIGARIKA SANKIRNA, K G F-BANGLORE ROAD, KOLAR-563103",KOLAR,Government,N,N,1-1528580191,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2451013051,JSS POLYTECHNIC FOR WOMEN,"JSS TECHNICAL INSTITUTIONS CAMPUS, 
MANASAGANGOTHRI",MYSORE,Govt aided,Y,N,1-465990781,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2450971475,K.V.G.COLLEGE OF ENGINEERING,"KURUNJIBHAG,
SULLIA TALUK,
DAKSHINA KANNADA DISTRICT,
KARNATAKA STATE. - 574327",DAKSHINA KANNADA,Unaided - Private,N,N,1-4083884,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2450973273,BASAVAKALYAN ENGINEERING COLLEGE,"N.H.9 
BASAVAKALYAN-585327
DIST. BIDAR
KARNATAKA",BIDAR,Unaided - Private,N,N,1-2060831,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2450974878,TONTADARYA COLLEGE OF ENGINEERING,"MUNDARAGI ROAD
GADAG - 582101",GADAG,Unaided - Private,N,N,1-4298204,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2450951338,HYDERABAD KARNATAKA EDUCATION SOCIETY'S POLYTECHNIC,YERAMARAS CAMP,RAICHUR,Unaided - Private,N,N,1-446152821,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2450975429,IMPACT COLLEGE OF ENGINEERING AND APPLIED SCIENCES,"KODIGEHALLI
SAHAKARANAGAR SOUTH
BANGALORE",BANGALORE URBAN,Unaided - Private,N,N,1-4425731,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2450952958,KLE'S KLE COLLEGE OF ENGINEERING AND TECHNOLOGY,"KLE'S KLE COLLEGE OF ENGINEERING AND TECHNOLOGY,BANANTIKODI ROAD CHIKODI,BELGAUM DISTRICT-591 201,KARNATAKA",BELGAUM,Unaided - Private,N,N,1-3423091,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2450954982,R. R. INSTITUTE OF TECHNOLOGY,"NO. 67, RAJA REDDY LAYOUT,
NEAR CHIKKABANAVARA RAILWAY STATION,
CHIKKABANAVARA
BANGALORE - 560090
KARNATAKA
INDIA",BANGALORE URBAN,Unaided - Private,N,N,1-8337487,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2450977172,SRI VIDHYANIKETHAN POLYTECHNIC,"SGR BHAVAN
OPP:AKASHAVANI
SALAGAMAE ROAD
HASSAN-573201
KARANATAKA",HASSAN,Unaided - Private,N,N,1-506668731,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2450955655,HKE SOCIETY'S WOMEN'S POLYTECHNIC GULBARGA,"HKE SOCIETY'S WOMEN'S POLYTECHNIC, NEAR PWD QUARTERS AIWAN-E-SHAHI AREA. GULBARGA.",GULBARGA,Unaided - Private,Y,N,1-434288271,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
1-2450978572,GOVERNMENT POLYTECHNIC GAJENDRAGAD,"SBSS GOVT. FIRST GRADE DEGREE COLLEGE CAMPUS, 
KUSHTAGI ROAD,
GAJENDRAGAD",GADAG,Government,N,N,1-451763001,fetchdata,2015-2016,Engineering and Technology,1,1,1,1,Karnataka,1
