institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-2811679981,"GOVERNMENT ENGINEERING COLLEGE, MODASA","SHAMLAJI ROAD
MODASA - 383315
DIST. SABARKANTHA
GUJARAT
INDIA",SABARKANTHA,Government,N,N,1-4831741,fetchdata,2016-2017,Engineering and Technology,1,1,1,1,Gujarat,1
1-2811810705,KILACHAND DEVCHAND POLYTECHNIC,"NEAR HEMCHANDRACHARYA NORTH GUJARAT UNIVERSITY,
OPP. T. B. HOSPITAL,
 UNIVERSITY ROAD",PATAN,Government,N,N,1-445056771,fetchdata,2016-2017,Engineering and Technology,1,1,1,1,Gujarat,1
1-2812394211,ATMIYA INSTITUTE OF TECHNOLOGY & SCIENCE (ENGINEERING),"""YOGIDHAM GURUKUL"", KALAWAD ROAD",RAJKOT,Unaided - Private,N,N,1-1711090,fetchdata,2016-2017,Engineering and Technology,1,1,1,1,Gujarat,1
1-2812399328,SHREE HARI POLYTECHNIC INSTITUTE,"GURUKUL CAMPUS
NANI KADI
TALUKA KADI
DISTRICT MEHSANA
GUJARAT",MEHSANA,Unaided - Private,N,N,1-455686471,fetchdata,2016-2017,Engineering and Technology,1,1,1,1,Gujarat,1
1-2812399673,"GOVERNMENT ENGINEERING COLLEGE, BHARUCH","OPP. GOVT. REST HOUSE,
NR. OLD NATIONAL HIGHWAY NO-08
BHOLAV,
BHARUCH. ( GUJARAT)",BHARUCH,Government,N,N,1-6595591,fetchdata,2016-2017,Engineering and Technology,1,1,1,1,Gujarat,1
1-2812688334,U. V. PATEL COLLEGE OF ENGINEERING,"GANPAT VIDYANAGAR
MEHSANA-GOZARIA HIGHWAY
KHERVA",MEHSANA,University Managed-Private,N,N,1-4161824,fetchdata,2016-2017,Engineering and Technology,1,1,1,1,Gujarat,1
1-2812771279,"ATMIYA INSTITUTE OF TECHNOLOGY & SCIENCE FOR DIPLOMA STUDIES,","""YOGIDHAM',
KALAVAD ROAD.",RAJKOT,Unaided - Private,N,N,1-403222671,fetchdata,2016-2017,Engineering and Technology,1,1,1,1,Gujarat,1
1-2811829307,MERCHANT ENGINEERING COLLEGE,"MEHSANA - VISNAGAR HIGHWAY,
AT & PO. BASNA,
TA. VISNAGAR,
DIST.MEHSNA
NORTH GUJARAT 
PIN. 384315",MEHSANA,Unaided - Private,N,N,1-4801204,fetchdata,2016-2017,Engineering and Technology,1,1,1,1,Gujarat,1
1-2811833362,"""SHRI SATSANGI SAKETDHAM 'RAM ASHRAM' GROUP OF INSTITUTIONS""",AT. & PO. VADASMA,MEHSANA,Unaided - Private,N,N,1-5139051,fetchdata,2016-2017,Engineering and Technology,1,1,1,1,Gujarat,1
1-2811838062,S.B.POLYTECHNIC,"K.J.CAMPUS, OPP. I.T.I, JAVLA-SAVLI, P.O.SAVLI-391770, DIST. VADODARA, GUJARAT.",VADODARA,Unaided - Private,N,N,1-450595681,fetchdata,2016-2017,Engineering and Technology,1,1,1,1,Gujarat,1
1-2812405269,BALAJI INSTITUTE OF ENGINEERING & TECHNOLOGY,JUNAGADH-DHORAJI HIGH WAY,JUNAGADH,Unaided - Private,N,N,1-421137101,fetchdata,2016-2017,Engineering and Technology,1,1,1,1,Gujarat,1
1-2812476542,SAL INSTITUTE OF TECHNOLOGY & ENGINEERING RESEARCH,"OPP. SCIENCE SITY,
VILLAGE : BHADAJ",AHMEDABAD,Unaided - Private,N,N,1-2389881,fetchdata,2016-2017,Engineering and Technology,1,1,1,1,Gujarat,1
1-2812778446,"SHRI SITARAMBHAI NARANJI PATEL INSTITUTE OF TECHNOLOGY, MANAGED BY VIDYABHARTI TRUST,UMRAKH -BARDOLI","VIDYA BHARTI CAMPUS BARDOLI - MOTA ROAD, UMRAKH	
TA. BARDOLI, DIST. SURAT, STATE. GUJARAT",SURAT,Unaided - Private,N,N,1-2605911,fetchdata,2016-2017,Engineering and Technology,1,1,1,1,Gujarat,1
1-2811842379,MADHUBEN AND BHANUBHAI PATEL WOMEN INSTITUTE OF ENGG. FOR STUDIES AND RESEARCH IN COMPUTER AND COMM.TECH,"BEYOND GIDC PHASE IV, 
POST BOX NO. 8, 
NEW VALLABH VIDYANAGAR(GUJARAT)
PIN;388 121 DIST:ANAND",ANAND,Unaided - Private,Y,N,1-4293683,fetchdata,2016-2017,Engineering and Technology,1,1,1,1,Gujarat,1
1-2811846301,CHRIST POLYTECHNIC INSTITUTE,"""CHRIST CAMPUS"",
VIDYA NIKETAN,
SAURASHTRA UNIVERSITY P. O.,
RAJKOT",RAJKOT,Unaided - Private,N,Y,1-421853003,fetchdata,2016-2017,Engineering and Technology,1,1,1,1,Gujarat,1
1-2812409102,L.J. POLYTECHNIC,"L.J. POLYTECHNIC, NR. NAGDEV MANDIR, NR. SARKHEJ-SANANAD CROSS ROAD, S.G. HIGHWAY",AHMEDABAD,Unaided - Private,N,N,1-444172233,fetchdata,2016-2017,Engineering and Technology,1,1,1,1,Gujarat,1
1-2812478314,GOVERMENT POLYTECHNIC,"B/H S.T. WORKSHOP
VADNAGAR
DIST-MEHSANA",MEHSANA,Government,N,N,1-444227583,fetchdata,2016-2017,Engineering and Technology,1,1,1,1,Gujarat,1
1-2812478670,"GOVERNMENT ENGINEERING COLLEGE, VALSAD","BETWEEN B.K.M.SCIENCE COLLEGE AND GOVERNMENT POLYTECHNIC,
TITHAL ROAD,
VALSAD",VALSAD,Government,N,N,1-8518149,fetchdata,2016-2017,Engineering and Technology,1,1,1,1,Gujarat,1
