institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-3379880901,"DEPARTMENT OF COMPUTER SCIENCE AND IT, CENTRAL UNIVERSITY OF JAMMU",RAHYA-SUCHANI(BAGLA),SAMBA,Central University,N,N,,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Jammu and Kashmir,1
1-3333591296,MAHANT BACHITTAR SINGH COLLEGE OF ENGENEERING & TECHONOLOGY,JEVAN NAGAR BABLIANA,JAMMU,Unaided - Private,N,Y,1-462068941,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Jammu and Kashmir,1
1-3328499385,SHRI MATA VAISHNO DEVI UNIVERSITY,"SUB POST OFFICE, KATRA 182320, DIST.REASI, JAMMU AND KASHMIR",REASI,Govt aided,N,N,1-40782250,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Jammu and Kashmir,1
1-3328502838,GOVT. POLYTECHNIC COLLEGE BARAMULLA,NATIONAL HIGHWAY KANISPORA,BARAMULLA,Government,N,N,1-1037261391,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Jammu and Kashmir,1
1-3326917339,"GOVERNMENT POLYTECHNIC FOR WOMEN, SRINAGAR",BEMINA,SRINAGAR,Government,Y,N,1-483935131,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Jammu and Kashmir,1
1-3327249142,KASHMIR GOVERNMENT POLYTECHNIC,GOGJIBAGH,SRINAGAR,Government,N,N,1-474267171,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Jammu and Kashmir,1
1-3327203663,GOVT. POLYTECHNIC RAMBAN,"OLD D.C. OFFICE COMPLEX
NEAR GOVT. DISTT. HOSPITAL RAMBAN",RAMBAN,Government,N,N,1-1045796631,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Jammu and Kashmir,1
1-3327296665,GOVT POLYTECHNIC KISHTWAR,"GOVT POLYTECHNIC KISHTWAR NEAR GURUDWARA, KOTWL MOHALLA, KISHTWAR (TEMPORARY ACCOMODATION)",KISHTWAR,Government,N,N,1-935761941,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Jammu and Kashmir,1
1-3327545544,SSM POLYTECHNIC,"PARIHASPORA,DIVER,PATTAN",BARAMULLA,Unaided - Private,N,N,1-446189381,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Jammu and Kashmir,1
1-3327670022,"GOVT. COLLEGE OF ENGINEERING & TECHNOLOGY, JAMMU","CHAK BHALWAL, JAMMU",JAMMU,Government,N,N,1-487904031,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Jammu and Kashmir,1
1-3327212537,GOVERNMENT POLYTECHNIC UDHAMPUR,GOVERNMENT POLYTECHNIC UDHAMPUR NEAR CMO OFFICE GOLE MARKET UDHAMPUR J&K,UDHAMPUR,Government,N,N,1-1037778081,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Jammu and Kashmir,1
1-3327604076,GOVT. POLYTECHNIC COLLEGE DODA,KELLANI DODA,DODA,Government,N,N,1-1049369841,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Jammu and Kashmir,1
1-3327662219,GOVT. POLYTECHNIC FOR WOMEN,LOWER SHIV NAGAR NEAR AG'S OFFICE JAMMU,JAMMU,Government,Y,N,1-483107441,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Jammu and Kashmir,1
1-3327307259,KITE POYTECHNIC,"VAWOOSA, RANGRETH",BADGAM,Unaided - Private,N,N,1-475136221,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Jammu and Kashmir,1
1-3327549742,MODEL INSTITUTE OF ENGINEERING AND TECHNOLOGY,"KOT BHALWAL, JAMMU
181122
JAMMU AND KASHMIR",JAMMU,Unaided - Private,N,N,1-3955211,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Jammu and Kashmir,1
