institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-3345392261,ARYAN SCHOOL OF ENGINEERING AND TECHNOLOGY,"AT-BARAKUDA, PO- PANCHAGAON, DIST-KHORDHA",KHORDHA,Unaided - Private,N,N,,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Odisha,1
1-3324381914,NILACHAL POLYTECHNIC,"540/1780 , PATHAR GADIA , NEAR INFOCITY & SIKHARCHANDI TEMPLE
PO:KIIT",KHORDHA,Unaided - Private,N,N,1-448393481,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Odisha,1
1-3324391404,"AJAY BINAY INSTITUTE OF TECHNOLOGY , CUTTACK","SECTOR-I,CDA , CUTTACK-753014",CUTTACK,Unaided - Private,N,N,1-5687186,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Odisha,1
1-3324430861,"BLACK DIAMOND COLLEGE OF ENGINEERING & TECHNOLOGY, JHARSUGUDA","AT: BALIJORI,
L&T BYPASS ROAD,
POST BOX NO. 21,
DISTRICT: JHARSUGUDA
ORISSA",JHARSUGUDA,Unaided - Private,N,N,1-400203651,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Odisha,1
1-3324451938,HI-TECH INSTITUTE OF ENGINEERING & MANAGEMENT,"N.H-5,
AT/PO - RANITAL DIST-BHADRAK PIN-756111
ORISSA.",BHADRAK,Unaided - Private,N,N,1-463825051,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Odisha,1
1-3324468287,"SUNDARGARH ENGINEERING SCHOOL, SUNDARGARH",AT/PO- KIREI,SUNDERGARH,Unaided - Private,N,N,1-462404861,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Odisha,1
1-3324261697,VIGNAN INSTITUTE OF TECHNOLOGY AND MANAGEMENT,"BHAIRAVI VIHAR, HARADANGA VILLAGE, PO: MANTRIDI, VIA: GOLANTHARA, BERHAMPUR, GANJAM DISTRICT, ORISSA
PIN: 761008",GANJAM,Unaided - Private,N,N,1-7169671,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Odisha,1
1-3324263416,SUSHREE INSTITUTE OF TECHNICAL EDUCATION (SITE),"AT-PALLISHREE VIHAR
PO-SADAIPALI
VIA-CHANDANBHATI
DIST-BALANGIR
PIN-767065
STATE-ORISSA",BALANGIR,Unaided - Private,N,N,1-461155451,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Odisha,1
1-3324292095,INDUS SCHOOL OF ENGINEERING,BARAKUDA HEIGHTS,KHORDHA,Unaided - Private,N,N,1-467939061,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Odisha,1
1-3324327079,"GOVERNMENT POLYTECHNIC, BOUDH","AT-NUAPALI
PO-BAGHAIPADA
BOUDA",BOUDH (BAUDA),Government,N,N,1-2064376171,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Odisha,1
1-3324360638,INDOTECH COLLEGE OF ENGINEERING,"INDOTECH COLLEGE OF ENGINEERING,
PLOT NO 144,
AT/PO MALLIPADA, VIA PALLAHAT (KHURDA- 2)
DIST KHURDA, ORISSA - 752 056",KHORDHA,Unaided - Private,N,N,1-13120911,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Odisha,1
1-3324362118,GOVERNMENT POLYTECHNIC NAYAGARH,"AT-GHASAIDEIPUR
PO-ODAGAON
ODAGAON
NAYAGARH",NAYAGARH,Government,N,N,1-2050985591,fetchdata,2017-2018,Engineering and Technology,1,1,1,1,Odisha,1
