institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-3509549229,SCHOOL OF RESEARCH & TECHNOLOGY,"PEOPLE'S CAMPUS, BHANPUR ROAD BHOPAL",BHOPAL,Unaided - Private,N,N,1-6088401,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509552031,SHRI VAISHNAV POLYTECHNIC COLLEGE,M.O.G. LINES,INDORE,Govt aided,N,N,1-462765461,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509576277,GOVT POLYTECHNIC COLLEGE SEONI,BARAPATTHER SEONI M.P.,SEONI,Government,N,N,1-457026801,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509584864,ROYAL COLLEGE OF TECHNOLOGY,"GRAM MANGROL, MHOW NEEMUCH ROAD",RATLAM,Unaided - Private,N,N,1-2464611111,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509585021,VAISHNAVI INSTITUTES OF TECHNOLOGY AND SCIENCE,"VILLAGE MENDUA,TEHSIL GOUHARGANJ",RAISEN,Unaided - Private,N,N,1-1344171,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509664792,VIDHYAPEETH INSTITUTE OF SCIENCE & TECHNOLOGY,VILLAGE KHAJURI KALA PATWARI HALKA NO. 19 VIKASH KHAND FUNDA TEHSIL HUZUR BHOPAL MP,BHOPAL,Unaided - Private,N,N,1-5186471,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509719408,BANSAL INSTITUTE OF RESEARCH AND TECHNOLOGY,"RAISEN ROAD, KOKTA, ANANDNAGAR, BHOPAL",BHOPAL,Unaided - Private,N,N,1-5931951,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509720137,OJASWINI INSTITUTE OF MANAGEMENT & TECHNOLOGY,"OJASWINI NAGAR, VILL. HATHNA, SAGAR ROAD, DAMOH",DAMOH,Unaided - Private,N,N,1-15539545,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509721028,SAMRAT ASHOK TECHNOLOGICAL INSTITUTE POLYTECHNIC COLLEGE,CIVIL LINES,VIDISHA,Govt aided,N,N,1-445227521,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509743448,GOVERNMENT WOMEN'S POLYTECHNIC COLLEGE JABALPUR,"S.T.S COMPOUND, BEOHARBAGH, GHAMAPUR, JABALPUR, MADHYA PRADESH, 482001",JABALPUR,Government,Y,N,1-460860791,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509794202,ORIENTAL ENGINEERING  COLLEGE(POLYTECHNIC),"KATNI - NAGPUR BYPASS ROAD , NEAR RAMCHANDRA MISSION VILLAGE ANDHUA",JABALPUR,Unaided - Private,N,N,1-2869423461,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509484393,ST. ALOYSIUS INSTITUTE OF TECHNOLOGY,"NEAR EKTA MARKET, GAUR BRIDGE, GOURIYA GHAT, MANDLA ROAD, JABALPUR. M.P.",JABALPUR,Unaided - Private,N,Y,1-2944881,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509501598,ACROPOLIS TECHNICAL CAMPUS,"RALAMANDAL NEAR TILLORE KHURD, INDORE",INDORE,Unaided - Private,N,N,1-6078286,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509525454,"SCHOOL OF ENGINEERING SRI SATYA SAI UNIVERSITY OF TECHNOLOGY AND MEDICAL SCIENCES,(SSSUTMS)","SH-18,BHOPAL INDORE ROAD,OPP. OIL FED PLANT,PACHAMA SEHORE(MP)",SEHORE,University Managed-Private,N,N,1-7434645,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509586526,SAGAR INSTITUTE OF SCIENCE & TECHNOLOGY (SISTEC),"NEAR AIRPORT, JAIPUR ROAD, PIPALNER
GANDHI NAGAR
BHOPAL-462036",BHOPAL,Unaided - Private,N,N,1-2600510,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509611082,SARASWATI INSTITUTE OF ENGINEERING AND TECHNOLOGY,"SHARDA PURAM , SAGDA ,JABALPUR
MADHYA PRADESH (INDIA)",JABALPUR,Unaided - Private,N,N,1-15254047,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509637321,INSTITUTE OF PEOPLES SCIENCE AND TECHNOLOGY,"P.O. CHITRAKOOT UNIVERSITY,CHITRAKOOT,DISTRICT SATNA (M.P.) 485780",SATNA,University Managed-Govt,N,N,1-40443451,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509637882,COLLEGE OF POLYTECHNIC ENGINEERING,"INDORE-DEWAS BYPASS ROAD
VILLAGE ARANDIA INDORE",INDORE,Unaided - Private,N,N,1-1447551291,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509666462,ACROPOLIS INSTITUTE OF TECHNOLOGY AND RESEARCH,"ACROPOLIS INSTITUTE OF TECHNOLOGY AND RESEARCH 
MANGLIYA SQUARE ,BYPASS ROAD 
INDORE 453771",INDORE,Unaided - Private,N,N,1-4304071,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509668527,ANNIE INSTITUTE OF TECHNOLOGY AND RSEARCH CENTRE,"KHAIRWARA ROAD, VILLAGE THUNIA BHAND, NEAR AIRSTRIP, CHHINDWARA",CHHINDWARA,Unaided - Private,N,N,1-1606601981,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509696619,JAI NARAIN COLLEGE OF TECHNOLOGY,"NEW CHOUKSEY NAGAR, BERASIA ROAD,BHOPAL",BHOPAL,Unaided - Private,N,N,1-6050421,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509722486,S.G.B.M. INSTITUTE OF TECHNOLOGY & SCIENCE,"VILLAGE BINEKI,
PATAN ROAD,
TEHSIL PATAN,
JABALPUR.
MADHYA PRADESH",JABALPUR,Unaided - Private,N,N,1-3106791,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509743932,GOVT POLYTECHNIC NASRULLAGANJ,"GOVT POLYTECHNIC NASRULLAGANJ
DISTRICT SEHORE
SV POLY CAMPUS BHOPAL",SEHORE,Government,N,N,1-2527534761,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509744041,GOVT.POLYTECHNIC COLLEGE JHABUA,INDORE AHEMDABAD ROAD(KISHANPURI),JHABUA,Government,N,N,1-454133761,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509761994,CORPORATE INSTITUTE OF REASERCH & TECHNOLOGY,"HATAI KHEDA, NEAR PATEL NAGAR, RAISEN ROAD BHOPAL",BHOPAL,Unaided - Private,N,N,1-423193241,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509462073,SWAMI VIVEKANAND COLLEGE OF ENGINEERING,"KHANDWA ROAD
NEAR TOLL NAKA
INDORE ( M.P.)
452 020
MADHYA PRADESH",INDORE,Unaided - Private,N,N,1-9858001,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509485722,"TAKSHSHILA INSTITUTE OF ENGINEERING & TECHNOLOGY, JABALPUR","SHARDA MANDIR ROAD, SHARDA CHOWK, MADAN MAHAL, JABALPUR (M.P.)",JABALPUR,Unaided - Private,N,N,1-4197331,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509486950,TECHNOCRATS INSTITUTE OF TECHNOLOGY,"IN FRONT OF HATHAIKHEDA DAM, POST PIPLANI, P.B. NO. 24, BHEL",BHOPAL,Unaided - Private,N,N,1-8726441,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509502722,KRISHNA COLLEGE OF ENGINEERING,"ALLAHABAD ROAD 
MANGAWAN BASTI
MANGAWAN",REWA,Unaided - Private,N,N,1-2491537221,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509503046,POLYTECHINC COLLEGE NOWGONG,NH 75 JHANSI RAOAD NOWGONG,CHHATARPUR,Government,N,N,1-453092033,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509528735,"GOVERNMENT POLYTECHNIC COLLEGE, MORENA","AMBAH ROAD, MORENA",MORENA,Government,N,N,1-455240393,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509638153,NRI COLLEGE OF ENGINEERING & MANAGEMENT,"JHANSI ROAD, GWALIOR (M.P)",GWALIOR,Unaided - Private,N,N,1-4706854,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509698889,SCHOOL OF ENGINEERING AND TECHNOLOGY,VIKRAM UNIVERSITY UJJAIN,UJJAIN,University Managed-Govt,N,N,1-513962641,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509724246,MAHARANA PRATAP COLLEGE OF TECHNOLOGY,"PUTLIGHAR ROAD, NEAR JIWAJI UNIVERSITY, MORAR, GWALIOR",GWALIOR,Unaided - Private,N,N,1-8617021,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509744500,ENGINEERING COLLEGE NOWGONG,"NH-75, JHANSI ROAD, NOWGONG, CHHATARPUR,MP",CHHATARPUR,Government,N,N,1-1230746451,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509744636,SHRI YOGINDRA SAGAR INSTITUTE OF TECHNOLOGY & SCIENCE,"CAMPUS, MHOW - NEEMUCH ROAD,
DHARAD,  RATLAM (M.P.) 457441",RATLAM,Unaided - Private,N,N,1-13636687,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509465620,GWALIOR ENGINEERING COLLEGE,"AIRPORT ROAD, MAHARAJPURA",GWALIOR,Unaided - Private,N,N,1-4452561,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509578261,INDORE INSTITUTE OF SCIENCE AND TECHNOLOGY,"DEHRI, OPP IIM, PITHAMPUR ROAD, RAU, INDORE, MADHYA PRADESH",INDORE,Unaided - Private,N,N,1-4279771,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509579068,SHRI RAMA KRISHNA COLLEGE OF POLYTECHNIC AND MANAGEMENT,CHANDI DAI ROAD VILLAGE KARHI PAWAI PANCHAYAT KARHI KOTHAR,SATNA,Unaided - Private,N,N,1-2857046271,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509613148,GYAN GANGA COLLEGE OF TECHNOLOGY,"P.O. TILWARA GHAT, GARHA
NEAR SHAH NALA, TRIPURI WARD,
JABALPUR
482003
MADHYA PRADESH",JABALPUR,Unaided - Private,N,N,1-8424969,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509614200,GYAN GANGA INSTITUTE OF TECHNOLOGY & SCIENCES,"P.O: TILWARA GHAT, GARHA, NEAR SHAH NALA, TRIPURI WARD, JABALPUR, MADHYA PRADESH-482003",JABALPUR,Unaided - Private,N,N,1-8088311,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509699075,PRASHANTI INSTITUTE OF TECHNOLOGY & SCIENCE,"NEAR MAHAVEER TAPOBHUMI, GRAM GANGEDI, INDORE ROAD,
UJJAIN(MP)",UJJAIN,Unaided - Private,N,N,1-5725961,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509700296,"SCHOOL OF INSTRUMENTATION, DEVI AHILYA VISHWAVIDYALAYA","TAKSHILA PARISAR, KHANDWA ROAD",INDORE,University Managed-Govt,N,N,1-834921361,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509725137,ORIENTAL COLLEGE OF TECHNOLOGY,"THAKRAL NAGAR,RAISEN ROAD BHOPAL",BHOPAL,Unaided - Private,N,N,1-5171171,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509764150,GOVT. POLYTECHNIC COLLEGE WAIDHAN,PRINCIPAL GOVT. POLYTECHNIC COLLEGE WAIDHAN,SINGRAULI,Government,N,N,1-480570161,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509814945,"SCHOOL OF ENERGY & ENVIRONMENTAL STUDIES, DEVI AHILYA VISHWAVIDAYALA","TAKSHASHILA CAMPUS, KHANDWA ROAD
INDORE (MP)-452001",INDORE,Government,N,N,1-792887491,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509468463,GLOBAL INSTITUTE OF ENGG. AND SCIENCE,"NIWALI ROAD
GRAM CHATLI
TEHSIL NIWALI
DISTRICT BARWANI",BARWANI,Unaided - Private,N,N,1-21231951,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509505258,ALL SAINTS' COLLEGE OF TECHNOLOGY,NH 12 GANDHI NAGAR BHOPAL,BHOPAL,Unaided - Private,N,Y,1-35023771,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509506167,GURU RAMDAS KHALSA INSTITUTE OF SCIENCE & TECHNOLOGY,"VILLAGE KUKRIKHEDA,BARELA,JABALPUR-482001",JABALPUR,Unaided - Private,N,N,1-40403351,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509507003,PATEL INSTITUTE OF TECHNOLOGY,RATIBAD,BHOPAL,Unaided - Private,N,N,1-6700643,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509529744,"SWAMI VIVEKANAND INSTITUTE OF TECHNOLOGY, SAGAR","BEHIND DR.H.S.GOUR UNIVERSITY,
N.H.-26, NARSHINGPUR ROAD,
SIRONJA,
SAGAR (M.P.) 470228",SAGAR,Unaided - Private,N,N,1-6376872,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509530884,INSTITUTE OF ENGINEERING & TECHNOLOGY,"DEVI AHILYA VISHWAVIDYALAYA
KHANDWA ROAD, INDORE",INDORE,University Managed-Govt,N,N,1-6364391,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509556087,"JAWAHARLAL INSTITUTE OF TECHNOLOGY, BORAWAN","VIDHYA VIHAR BORAWAN 
TEHSIL KASRAWAD 
DIST. KHARGONE M.P. 451228",KHARGONE,Unaided - Private,N,N,1-6088380,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509590678,BETHESDA INSTITUTE OF TECHNOLOGY AND SCIENCES,VILL. RATWAI (CHITORA ROAD) MORAR GWALIOR M.P.,GWALIOR,Unaided - Private,N,N,1-465688831,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509591027,"GOVERNMENT POLYTECHNIC COLLEGE, HARDA", INDORE ROAD,HARDA,Government,N,N,1-445612621,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509642627,ITM UNIVERSITY - GWALIOR (SCHOOL OF ENGINEERING & TECHNOLOGY),"ITM UNIVERSITY CAMPUS, NH-75, JHANSI ROAD,",GWALIOR,University Managed-Private,N,N,1-779129551,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509727460,GOVT.WOMENS POLYTECHNIC COLLEGE SEHORE,"GOVT.WOMENS POLYTECHNIC COLLEGE, 
BHOPAL NAKA SEHORE(M.P.)",SEHORE,Government,Y,N,1-455715171,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509816150,BANSAL INSTITUTE OF SCIENCE AND TECHNOLOGY,"RAISEN ROAD, KOKTA ANANDNAGAR, BHOPAL",BHOPAL,Unaided - Private,N,N,1-9275063,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509468881,UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966),"UJJAIN ENGINEERING COLLEGE SANWER ROAD, UJJAIN (M.P) - 456 010",UJJAIN,Government,N,N,1-17122811,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509532311,RAMNATH SINGH INSTITUTE OF TECHNOLOGY AND SCIENCE,"NEAR SITHOLI RAILWAY STATION, GWALIOR-474005",GWALIOR,Unaided - Private,N,N,1-450060253,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
1-3509558342,SAGAR INSTITUTE OF RESEARCH & TECHNOLOGY- EXCELLENCE,AYODHYA BY PASS ROAD,BHOPAL,Unaided - Private,N,N,1-4898041,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Madhya Pradesh,1
