institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-3626474381,GOVERNMENT POLYTECHNIC SAHASWAN BUDAUN,"VILL- SAMDA, KACHHLA ROAD, SAHASWAN, BUDAUN",BUDAUN,Government,N,N,,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Uttar Pradesh,1
1-3686504211,RAJ POLYTECHNIC,"SISWA, BABATPUR, BARAGAON, VARANASI",VARANASI,Unaided - Private,N,N,,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Uttar Pradesh,1
1-3516014274,H.R.C.T. GROUP OF INSTITUTIONS,"7TH KM STONE, DELHI-MEERUT ROAD, MORTA, GHAZIABAD",GHAZIABAD,Unaided - Private,N,N,1-460901471,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Uttar Pradesh,1
1-3516015854,SACHDEVA INSTITUTE OF TECHNOLOGY,"DELHI- AGRA NATIONALHIGHWAY NO. 2,
VILL. CHAWKIPUR, POST RAIPURA JAT, FARAH,MATHURA",MATHURA,Unaided - Private,N,N,1-9713621,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Uttar Pradesh,1
1-3516016830,AJAY KUMAR GARG ENGINEERING COLLEGE,"27 KM STONE, DELHI-HAPUR BYPASS ROAD,
ADHYATMIK NAGAR,
GHAZIABAD, U.P",GHAZIABAD,Unaided - Private,N,N,1-2893141,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Uttar Pradesh,1
1-3516001845,INSTITUTE OF ENGINEERING & TECHNOLOGY,"BUNDELKHAND UNIVERSITY CAMPUS, KANPUR ROAD, JHANSI",JHANSI,Government,N,N,1-491997703,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Uttar Pradesh,1
1-3516002595,"INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY, VARANASI","CHOWKAGHAT 
VARANASI - 221002
(UP)",VARANASI,Government,N,N,1-581901631,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Uttar Pradesh,1
1-3516003006,IEC GROUP OF INSTITUTIONS,"PLOT NO.-4&11, K.P.-1&3, GREATER NOIDA",GAUTHAM BUDDHA NAGAR,Unaided - Private,N,N,1-6641291,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Uttar Pradesh,1
1-3516007856,MADAN MOHAN MALAVIYA UNIVERSITY OF TECHNOLOGY,"MADAN MOHAN MALAVIYA ENGINEERING COLLEGE
DEORIA ROAD 
GORAKHPUR-273010",GORAKHPUR,Govt aided,N,N,1-5435425,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Uttar Pradesh,1
1-3516008541,BSA COLLEGE OF ENGINEERING & TECHNOLOGY,"NEAR NEW BUS STAND
BHUTESHWAR ROAD
MATHURA (UP)",MATHURA,Unaided - Private,N,N,1-6777301,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Uttar Pradesh,1
1-3516009333,SRI SRI INSTITUTE OF TECHNOLOGY & MANAGEMENT,"SALAI ROAD , VILL. FATEHPUR .KASGANJ,KANSHIRAMNAGAR U.P.",KANSHI RAM NAGAR,Unaided - Private,N,N,1-20428711,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Uttar Pradesh,1
1-3516011336,ABES ENGINEERING COLLEGE,"CAMPUS -1,             19TH KM STONE DELHI HAPUR BY PASS ROAD
N.H.-24                 VIJAY NAGAR",GHAZIABAD,Unaided - Private,N,N,1-6248771,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Uttar Pradesh,1
1-3516012790,ZAKIR HUSAIN COLLEGE OF ENGINEERING & TECHNOLOGY,ZAKIR HUSAIN COLLEGE OF ENGINEERIING & TECHNOLOGY ALIGARH MUSLIM UNIVERSITY ALIGARH - 202002,ALIGARH,Central University,N,N,1-2519321631,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Uttar Pradesh,1
1-3703150251,GAJRAJ SINGH POLYTECHNIC,"AHARPUR, JAMUNIYA, JAUNPUR",JAUNPUR,Unaided - Private,N,N,,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Uttar Pradesh,1
1-3755231331,RUDRA POLYTECHNIC,"VILLAGE & POST- GAURA, TEHSIL- MEHNAGAR",AZAMGARH,Unaided - Private,N,N,,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Uttar Pradesh,1
1-3766935741,MODERN COLLEGE,"VILLAGE-KOCHHABHANWAR, POST-KOCHHABHANWAR, JHANSI",JHANSI,Unaided - Private,N,Y,,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Uttar Pradesh,1
1-3763789271,JAYPEE INSTITUTE OF INFORMATION TECHNOLOGY,"A-10, SECTOR-62 AND SECTOR 128, NOIDA",GAUTAM BUDDHA NAGAR,Deemed University(Private),N,N,,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Uttar Pradesh,1
1-3510979493,DEVO MAHESH COLLEGE OF ENGINEERING & TECHNOLOGY,"SUKRIT (VARANASI TO SHAKTINAGAR G.T. ROAD) ROBARTSGANJ, SONBHADRA, UTTAR PRADESH (INDIA)",SONBHADRA,Unaided - Private,N,N,1-2071025701,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Uttar Pradesh,1
1-3510999026,HINDUSTASN COLLEGE OF SCIENCE & TECHNOLOGY,"NH#2, AGRA DELHI HIGHWAY,  
FARAH, MATHURA",MATHURA,Unaided - Private,N,N,1-9291946,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Uttar Pradesh,1
1-3511001783,MEERUT INSTITUTE OF TECHNOLOGY,"NH-58, BARAL PARTAPUR, BYPASS ROAD, MEERUT-250103 (U.P.)",MEERUT,Unaided - Private,N,N,1-6588351,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Uttar Pradesh,1
1-3511028936,SHIVALIK INSTITUTE OF MANAGEMENT AND TECHNOLOGY,"VILL-SARAGTHAL MUSTAKAM, P.O- SADHOLI HARIYA,",SAHARANPUR,Unaided - Private,N,N,1-2046377471,fetchdata,2018-2019,Engineering and Technology,1,1,1,1,Uttar Pradesh,1
