institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-4714060864,CENTRAL INSTITUTE OF PLASTICS ENGINEERING AND TECHNOLOGY,CIPET PLOT NO.198/201 NEAR BIOGENETIC PVT. LTD. JHARMAJRI BADDI DIST SOLAN H.P,SOLAN,Government,N,N,,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Himachal Pradesh,1
1-4263368988,T.R. ABHILASHI MEMORIAL INSTITUTE OF ENGINEERING AND TECHNOLOGY,"TANDA, P.O. BALT (NER CHOWK) TEH. SADAR, DISTT. MANDI H.P.",MANDI,Unaided - Private,N,N,1-6233042,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Himachal Pradesh,1
1-4263375920,DR. B.R. AMBEDKAR GOVT. POLYTECHNIC,"AMBOTA, DISTT. UNA (HP) PIN 177205",UNA,Government,N,N,1-464284381,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Himachal Pradesh,1
1-4263378198,GREEN HILLS ENGINEERING COLLEGE,"GREEN HILLS ENGINEERING COLLEGE
VILL-GANDHIGRAM, P.O. BAHOLI,
KUMARHATTI-NAHAN ROAD, KUMARHATTI,
DISTT. SOLAN (H.P.)-173229",SOLAN,Unaided - Private,N,N,1-26429171,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Himachal Pradesh,1
1-4271248771,SIRDA INSTITUTE OF ENGINEERING TECHNOLOGY,"VILLAGE-TAROT, POST OFFICE-KANAID, TEHSIL- SUNDERNAGAR,
DISTRICT- MANDI, HIMACHAL PRADESH,",MANDI,Unaided - Private,N,N,1-44036164,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Himachal Pradesh,1
1-4271099321,SHIVA INSTITUTE OF ENGINEERING AND TECHNOLOGY,"LUHNOO KANATAIN PO CHANDPUR TEH. BILASPUR
DISTT BILASPUR (HP)-174004",BILASPUR,Unaided - Private,N,N,1-4879253,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Himachal Pradesh,1
1-4270906218,VAISHNO COLLEGE OF ENGINEERING,"VILLAGE - THAPKOUR, POST OFFICE - BHADROYA, TEHSIL NURPUR, DISTT. KANGRA, H.P",KANGRA,Unaided - Private,N,N,1-3403081,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Himachal Pradesh,1
1-4271192380,GOVT.POLYTECHNIC  KULLU,"DISTT. KULLU 
SEOBAG",KULU,Government,N,N,1-1528642701,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Himachal Pradesh,1
1-4267085633,HIMALAYAN INSTITUTE OF ENGINEERING & TECHNOLOGY,"SADHORA ROAD, KALA-AMB, TEH. NAHAN, DISTT SIRMOUR, HIMACHAL PARDESH.",SIRMAUR,Unaided - Private,N,N,1-5750691,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Himachal Pradesh,1
1-4266102859,DREAMZ POLYTECHNIC,"VILLAGE KHILRA,P.O. MERAMASIT TEHSIL SUNDERNAGAR DISTT.MANDI (HP)-175036",MANDI,Unaided - Private,N,N,1-427569971,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Himachal Pradesh,1
1-4266144167,SIRDA POLYTECHNIC,"VILL. TAROT, P.O. - KANAID",MANDI,Unaided - Private,N,N,1-466670311,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Himachal Pradesh,1
1-4797425341,GOVT. PG COLLEGE DHARAMSHALA,CIVIL LINE DHARAMSHALA,KANGRA,Government,N,N,,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Himachal Pradesh,1
1-4261434641,HIMACHAL INSTITUTE OF ENGINERING AND TECHNOLOGY,"HIET,
SHAHPUR(AT VIDYANAGAR),
DISTT. KANGRA(HP)",KANGRA,Unaided - Private,N,N,1-417987195,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Himachal Pradesh,1
1-4261483618,GOVERENMENT MILLENNIUM POLYTECHNIC,"GOVERENMENT MILLENNIUM POLYTECHNIC, SAROL, CHAMBA",CHAMBA,Government,N,N,1-456019751,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Himachal Pradesh,1
1-4261080802,GOVT. POLYTECHNIC HAMIRPUR,"POST OFFICE MOHIN, TEH & DISTT. HAMIRPUR (HP)-177030",HAMIRPUR,Government,N,N,1-466017371,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Himachal Pradesh,1
1-4261108248,SHIVALIK POLYTECHNIC,SHIVALIK POLYTECHNIC BADHERA TEHSIL HAROLI DISTT. UNA HP,UNA,Unaided - Private,N,N,1-478904853,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Himachal Pradesh,1
1-4261108989,GOVT. POLYTECHNIC ROHRU,"POST OFFICE ROHRU, 
DISTT. SHIMLA H.P.",SHIMLA,Government,N,N,1-426003341,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Himachal Pradesh,1
1-4261111334,RAJIV GANDHI GOVERNMENT POLYTECHNIC BANIKHET AT KANDA,"GP BANIKHET
VPO BANIKHET
TEH. DALHOUSIE
DISTT. CHAMBA
H.P.",CHAMBA,Government,N,N,1-464954441,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Himachal Pradesh,1
