institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-4500612781,ANNA UNIVERSITY REGIONAL CAMPUS COIMBATORE,"NAVAVOOR, MARUDHAMALAI ROAD, SOMAYAMPALAYAM, COIMBATORE-641046",COIMBATORE,University Managed-Govt,N,N,,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Tamil Nadu,1
1-4803969801,UNIVERSITY COLLEGE OF ENGINEERING,"MANGARAI PIRIVU, REDDIYARCHATRAM(PO), DINDIGUL",DINDIGUL,Government,N,N,,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Tamil Nadu,1
1-4966783490,COLLEGE OF FISHERIES ENGINEERING,"TAMIL NADU DR.J.JAYALALITHAA FISHERIES UNIVERSITY, VETTAR RIVER VIEW CAMPUS, NAGAPATTINAM, 611002",NAGAPATTINAM,Government,N,N,,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Tamil Nadu,1
1-4965114821,UNIVERSITY VOC COLLEGE OF ENGINEERING,"ANNA UNIVERSITY: THOOTHUKUDI CAMPUS, BRYANT NAGAR 7TH STREET WEST, THOOTHUKUDI",THOOTHUKUDI,University Managed-Govt,N,N,,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Tamil Nadu,1
1-4641291931,UNIVERSITY COLLEGE OF ENGINEERING KANCHEEPURAM,"NH-4, CHENNAI BANGALORE HIGHWAYS, PONNERIKKARAI, KARAPETTAI VILLAGE & POST, KANCHEEPURAM - 631552",KANCHIPURAM,University Managed-Govt,N,N,,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Tamil Nadu,1
1-4647504241,UNIVERSITY COLLEGE OF ENGINEERING ARNI,THATCHUR,TIRUVANNAMALAI,University Managed-Govt,N,N,,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Tamil Nadu,1
1-5055871561,UNIVERSITY COLLEGE OF ENGINEERING VILLUPURAM,"UNIVERSITY COLLEGE OF ENGINEERING VILLUPURAM 
KAKUPPAM",VILUPPURAM,University Managed-Govt,N,N,,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Tamil Nadu,1
1-4729857503,UNIVERSITY COLLEGE OF ENGINEERING ARIYALUR,"KATHANKUDIKADU, THELUR (POST), ARIYALUR-621704",ARIYALUR,University Managed-Govt,N,N,,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Tamil Nadu,1
1-4758073681,UNIVERSITY COLLEGE OF ENGINEERING PANRUTI,"CHENNAI KUMBAKONAM HIGHWAY, PANIKKANKUPPAM, PANRUTI -607106, CUDDALORE DISTRICT, TAMIL NADU.",CUDDALORE,University Managed-Govt,N,N,,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Tamil Nadu,1
1-4670706161,UNIVERSITY COLLEGE OF ENGINEERING TINDIVANAM,"MELPAKKAM, TINDIVANAM",VILUPPURAM,University Managed-Govt,N,N,,fetchdata,2019-2020,Engineering and Technology,1,1,1,1,Tamil Nadu,1
