institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-7013455330,T V R POLYTECHNIC,"MAIN ROAD, SONDIPUDI",SRIKAKULAM,Private-Self Financing,N,N,1-501668061,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
1-7154977005,INS VISHWAKARMA,"NAD PO 
VISAKHAPATNAM 530009",VISHAKHAPATNAM,Government,N,N,1-685705071,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
1-7022313879,BEHARA TECHNICAL CAMPUS(BEHARA POLYTECHNIC),"NARAVA, 57TH WARD, GVMC, VISAKHAPATNAM,A.P. PIN-5300",VISHAKHAPATNAM,Private-Self Financing,N,N,1-772170991,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
1-7022314048,BRINDAVAN INSTITUTE OF TECHNOLOGY AND SCIENCE,"N.H.-7
PEDDATEKUR
KURNOOL-518218(ANDHRA PRADESH)",KURNOOL,Private-Self Financing,N,N,1-4316767,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
1-7022314795,"DR. Y.C.JAMES YEN GOVT. POLYTECHNIC, KUPPAM","YANADIPALLI VILLAGE, KRISNADASANA PALLI POST,",CHITTOOR,Government,N,N,1-475218391,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
1-7022315972,A.A.N.M. & V.V.R.S.R. POLYTECHNIC,SESHADRI RAO KNOWLEDGE VILLAGE,KRISHNA,Private-Self Financing,N,N,1-399048571,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
1-7101894814,SREE VASAVI KANYAKA PARAMESWARI POLYTECHNIC,"MARKAPUR ROAD
KANDULAPURAM VILLAGE
CUMBUM MANDAL
PRAKASAM DISTRICT
A.P STATE.",PRAKASAM,Private-Self Financing,N,N,1-423210721,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
1-7015880107,PRAKASAM ENGINEERING COLLEGE,"O.V ROAD
KANDUKUR
PRAKASAM DISTRICT
ANDHRA PRADESH-523105",PRAKASAM,Private-Self Financing,N,N,1-2787821,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
1-7022294042,NARASARAOPETA ENGINEERING COLLEGE,"KOTAPPA KONDA ROAD, 
YELLAMANDA POST, 
NARASARAOPET - 522 601 
GUNTUR DIST. 
ANDHRA PRADESH",GUNTUR,Private-Self Financing,N,N,1-2146711,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
1-7101897209,MADDALA RAMAKRISHNAMMA POLYTECHNIC,"M.R.K.POLYTECHN IC, VEERAVASARAM, VEERAVASARAM MANDAL, WEST GODAVARI DISTRICT, ANDHRA PRADESH, 
PIN: 534 245",WEST GODAVARI,Private-Self Financing,N,N,1-437194781,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
1-7015883285,BONAM VENKATACHALAMAYYA INSTITUTE OF TECHNOLOGY & SCIENCE,"BATLAPALEM
AMALAPURAM (MANDAL)
EAST GODAVARI DISTRICT
ANDHRA PRADESH
533221",EAST GODAVARI,Private-Self Financing,N,N,1-3140596,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
1-7022296699,KUPPAM ENGINEERING COLLEGE,"KES NAGAR, 
P.B NATHAM (PO)
KUPPAM
CHITTOOR DT.",CHITTOOR,Private-Self Financing,N,N,1-4184101,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
1-7022299344,RISE KRISHNA SAI PRAKASAM GROUP OF INSTITUTIONS,"NH - 5,
VALLURU - ONGOLE
PRAKASAM DT
PIN - 523 272
ANDHRA PRADESH",PRAKASAM,Private-Self Financing,N,N,1-3935283,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
1-7022305308,SCHOOL OF ENGINEERING & TECHNOLOGY,"THE REGISTRAR, SRI PADMAVATI MAHILA VISVAVIDYALAYAM, TIRUPATI -517 502",CHITTOOR,Government,Y,N,1-451965541,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
1-7022308028,NADIMPALLI SATYANARAYANA RAJU INSTITUTE OF TECHNOLOGY,"SONTYAM (VILLAGE)
ANANDAPURAM (MANDAL)",VISHAKHAPATNAM,Private-Self Financing,N,N,1-12393881,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
1-7101790347,SRIKALAHASTEESWARA INSTITUTE OF TECHNOLOGY,"PANAGAL
SRIKALAHASTI
CHITTOOR DIST,
ANDHRA PRADESH
PIN-? 517 640.",CHITTOOR,Government,N,N,1-6271657,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
1-7022310307,CHAITANYA ENGINEERING COLLEGE,"KOMMADI,
MADHURAWADA,
VISAKHAPATNAM-530041
ANDHRA PRADESH",VISHAKHAPATNAM,Private-Self Financing,N,N,1-6656101,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
1-7022311691,AUDISANKARA INSTITUTE OF TECHNOLOGY,"NH-5,
BY-PASS ROAD,
GUDUR,
NELLORE DISTRICT
ANDHRA PRADESH
PIN:524101",NELLORE,Private-Self Financing,N,N,1-4092776,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
1-7022312054,GOVERNMENT POLYTECHNIC FOR WOMEN,"GUJARATHIPETA POST,
SRIKAKULAM",SRIKAKULAM,Government,Y,N,1-453072271,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
1-7022312310,IDEAL INSTITUTE OF TECHNOLOGY,"IDEAL COLLEGE ROAD
MAIN ROAD
VIDYUTNAGAR",EAST GODAVARI,Private-Self Financing,N,N,1-5355081,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
1-7016126289,GOVERNMENT MODEL RESIDENTIAL POLYTECHNIC,K.R.PURAM,WEST GODAVARI,Government,N,N,1-2085701741,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
1-7016128266,SANSKRITHI SCHOOL OF ENGINEERING,"BEEDUPALLI ROAD, PRASANTHIGRAM",ANANTAPUR,Private-Self Financing,N,N,1-2492477331,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
1-7022139553,ST. MARY'S WOMEN'S ENGINEERING COLLEGE,"BUDAMPADU VILLAGE, GUNTUR RURAL MANDAL, GUNTUR DISTRICT, ANDHRA PRADESH, INDIA",GUNTUR,Private-Self Financing,Y,Y,1-10359491,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
1-7022140929,GOVT.MODEL RESEDENTIAL POLYTECHNIC,"G M R POLYTECHNIC

TALARSINGH",VISHAKHAPATNAM,Government,N,N,1-450629931,fetchdata,2020-2021,Engineering and Technology,1,1,1,1,Andhra Pradesh,1
