institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-9547054381,GOVERMENT ENGINEERING COLLEGE PALAMU,VILLAGE- BASAURA ANCHAL- LESLIGANJ,PALAMU,Government,N,N,1-9547054381,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9550623571,GOVERNMENT ENGINEERING COLLEGE KODERMA,"BAGHITAND, DISTT.- KODERMA, JHARKHAND",KODERMA,Government,N,N,1-9550623571,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9320029346,GOVERNMENT WOMEN'S POLYTECHNIC DUMKA,POST: TYELIYACHAK PS: MUFFASIL THANA,DUMKA,Government,N,N,1-3722589271,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9320098644,GOVERNMENT POLYTECHNIC LOHARDAGA,KUJRA LOHARDAGA,LOHARDAGA,Government,N,N,1-3730222141,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9320482378,MARYLAND INSTITUTE OF TECHNOLOGY AND MANAGEMENT,"VILLAGE CHARINDA / JORISA, GALUDIH",EAST SINGHABHUM,Private-Self Financing,N,N,1-454851511,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9320112613,GOVERNMENT POLYTECHNIC KHUNTI,KHUNTI,RANCHI,Government,N,N,1-3751147581,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9322279750,RAMCHANDRA CHANDRAVANSI INSTITUTE OF TECHNOLOGY,AT. NAWADIH P.O BISHRAMPUR P.S. BISHRAMPUR DISTT. PALAMU,PALAMU,Private-Self Financing,N,N,1-20635851,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9320179167,GOVERNMENT POLYTECHNIC BAGODAR,"GOVT. POLYTECHNIC, BAGODAR, VILLAGE-MANJHLADIH (JARMUNE ) POST- BAGODAR, DIST.- GIRIDIH- 825322",GIRIDIH,Government,N,N,1-3732366411,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9322414513,SILLI POLYTECHNIC (ESTD. BY GOVT. OF JHARKHAND & RUN BY TECHNO INDIA UNDER PPP),"SILLI,MOORI, RANCHI, JHARKHAND",RANCHI,Private-Self Financing,N,N,1-1552859701,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9319958128,GOVERNMENT POLYTECHNIC SAHIBGANJ,"LOHONDA, NEAR I.T.I., SAHIBGANJ",SAHIBGANJ,Government,N,N,1-3700137560,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9320304208,CENTRE FOR BIOINFORMATICS,CENTRE FOR BIOINFORMATICS VILLAGE- BALSIRING TALUKA- TUPUDANA DIST- RANCHI STATE- JHARKHAND PIN- 834007,RANCHI,Private-Self Financing,N,N,1-467963733,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9320193111,GOVERNMENT POLYTECHNIC JAMTARA,"GOVERNMENT POLYTECHNIC, JAMTARA",DUMKA,Government,N,N,1-3754067991,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9320076337,GOVERNMENT POLYTECHNIC SIMDEGA,"AT-KARWATOLI,  PO+PS-SIMDEGA DIST-SIMDEGA",GUMLA,Government,N,N,1-3723473361,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9322114211,RAMGOVIND POLYTECHNIC INSTITUTE,AT-MAHUVAN PO-KARMA JHUMRI TELAIYA KODARMA,KODERMA,Private-Self Financing,N,N,1-1508213381,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9320080623,GOVERNMENT POLYTECHNIC GODDA,"P.O.- MOTIA, P.S.- MUFALSIL THANA GODDA",GODDA,Government,N,N,1-3732689221,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9320139498,GOVERNMENT POLYTECHNIC HAZARIBAG,AT: SILWAR KHURD POST: SILWAR KHURD ,HAZARIBAG,Government,N,N,1-3722439301,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9322035130,"GOVT. POLYTECHNIC, KODERMA","BAGITAND, P.O.- KODERMA, DISTT- KODERMA, STATE- JHARKHAND PIN- 825410",KODERMA,Government,N,N,1-466092341,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9319745132,GUMLA POLYTECHNIC ESTD BY GOVT OF JHARKHAND AND RUN BY A P S COLLEGE AND CYBOTECH CAMPUS UNDER PPP,"CHANDALI, NEAR POLICE LINE,LOHARDAGA ROAD,GUMLA",GUMLA,Private-Self Financing,N,N,1-4290314580,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9320647511,DAV INSTITUTE OF ENGINEERING & TECHNOLOGY,"BETLA ROAD, P.O. POLPOL, MEDININAGAR (DALTONGANJ), DIST - PALAMAU, (JHARKHAND)",PALAMU,Private-Self Financing,N,N,1-432791092,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9320605494,CHAIBASA ENGINEERING COLLEGE (ESTD. BY GOVT. OF JHARKHAND & RUN BY TECHNO INDIA UNDER PPP),"JHIKPANI,CHAIBASA,JHARKHAND, EAST SINGHABHUM",WEST SINGHBHUM,Private-Self Financing,N,N,1-1607768251,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9551810721,GOVERNMENT PROFESSIONAL COLLEGE JAMSHEDPUR,"GOVT. PROFESSIONAL COLLEGE, BARA ROAD, SIDHGORA, JAMSHEDPUR, EAST SINGHABHUM, JHARKHAND",EAST SINGHABHUM,Government,N,N,1-9551810721,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9320948311,AL-KABIR POLYTECHNIC,"KABIRNAGAR, P.O. KOPALI, VIA MANGO",SERAIKELA-KHARSAWAN,Private-Self Financing,N,Y,1-441650411,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9320829777,R. V. S. COLLEGE OF ENGINEERING & TECHNOLOGY,EDALBERA BHILAI PAHARI NH 33,EAST SINGHABHUM,Private-Self Financing,N,N,1-4068274,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9542498551,ENGINEERING COLLEGE GOLA,"VILLAGE- KENKE , POLICE STATION -19, GOLA,",RAMGARH,Government,N,N,1-9542498551,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
1-9322841888,"SAI NATH UNIVERSITY, FACULTY OF SCIENCE AND TECHNOLOGY","876, JIRAWAR, CHANDWAY - KUCHU ROAD, ORMANJHI",RANCHI,State Private University,N,N,1-2851332727,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Jharkhand,1
