institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-9322755391,DR.SAU.KAMALTAI GAWAI INSTITUTE OF ENGINEERING & TECHNOLOGY DARAPUR,"AT. PO. DARAPUR,TQ.DARYAPUR, DIST.AMRAVATI, STATE MAHARASHTRA - 444 814",AMRAVATI,Private-Self Financing,N,N,1-9713541,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Maharashtra,1
1-9323250171,ADARSH INSTITUTE OF TECHNOLOGY & RESERCH CENTRE.,"A/P:- KHAMBALE(BHA),VITA. GAT NO. 421, TAL - KHANAPUR, DIST- SANGLI, PIN- 415311",SANGLI,Private-Self Financing,N,N,1-4836141,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Maharashtra,1
1-9323277450,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,"DR D. Y. PATIL, VIDYANAGAR, SECTOR 7, NERUL",THANE,Private-Self Financing,N,N,1-4274281,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Maharashtra,1
1-9322599774,JAWAHARLAL DARDA INSTITUTE OF ENGINEERING & TECHNOLOGY,"M.I.D.C., LOHARA,  YAVATMAL-445001.",YAVATMAL,Private-Self Financing,N,Y,1-4243471,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Maharashtra,1
1-9322762059,DILKAP RESEARCH INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,VILLAGE MAMDAPUR POST NERAL,RAIGAD,Private-Self Financing,N,N,1-2029561,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Maharashtra,1
1-9322816238,"TRINITY ACADEMY OF ENGINEERING, PUNE","S.NO.25 & 27,AT-PISOLI,POST-YEWALEWADI,NEAR BOPDEVGHAT,TAL-HAVELI,PUNE.",PUNE,Private-Self Financing,N,N,1-3450001,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Maharashtra,1
1-9323042015,RIZVI COLLEGE OF ENGINEERING,"RIZVI EDUCATIONAL COMPLEX, SHERLY RAJAN VILLAGE OFF. CARTER ROAD, BANDRA (WEST)",MUMBAI SUBURBAN,Private-Self Financing,N,Y,1-20942721,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Maharashtra,1
1-9323279119,DR. VITHALRAO VIKHE PATIL COLLEGE OF ENGINEERING AHMEDNAGAR,"P.O.- M I D C , VILAD GHAT , AHMEDNAGAR 414111 MAHARASHTRA",AHMEDNAGAR,Private-Self Financing,N,N,1-2389691,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Maharashtra,1
1-9322602319,MADHUKARRAO PANDAV COLLEGE OF ENGINEERING,AT-BHILEWADA DIST.-BHANDARA (M.S.),BHANDARA,Private-Self Financing,N,N,1-22995711,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Maharashtra,1
1-9322604907,Y. B. PATIL POLYTECHNIC,"PCNTDA, SECTOR-29, AKURDI",PUNE,Private-Self Financing,N,N,1-434118461,fetchdata,2021-2022,Engineering and Technology,1,1,1,1,Maharashtra,1
