institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-10973647975,ST.PETER'S ENGINEERING COLLEGE,"OPP A.P.FOREST ACADEMY MAISAMMAGUDA (HAMLET) GUNDLAPOCHAMPALLY (V), DHULAPALLY(P) MEDCHAL (M) R.R.DIST",RANGAREDDI,Private-Self Financing,N,N,1-7152971,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10975958958,NAWAB SHAH ALAM KHAN COLLEGE OF ENGINEERING  & TECHNOLOGY,"16-4-1/A, NEW MALAKPET, HYDERABAD, 500 024, ANDHRA PRADESH, INDIA.",HYDERABAD,Private-Self Financing,N,Y,1-5724931,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10975898515,NARSIMHAREDDY ENGINEERING COLLEGE,"SY.NO: 518 MAISAMMAGUDA(V), DULLAPALLE, MEDCHAL MANDAL RANGAREDDY DISTRICT",RANGAREDDI,Private-Self Financing,N,N,1-5902521,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10974903997,SAMSKRUTI COLLEGE OF ENGINEERING AND TECHNOLOGY,"KONDAPUR VILLAGE, GHATKESAR MANDAL R.R.DIST., PIN - 501301",RANGAREDDI,Private-Self Financing,N,N,1-2606471,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10975096170,ST MARY S INTEGRATED CAMPUS HYDERABAD,"NEAR RAMOJI FILM CITY, BEHIND MOUNT OPERA, DESHMUKHI (V), POCHAMPALLY (M), NALGONDA DT. & BATASINGARAM (V), HAYATHNAGAR (M), RANGA REDDY DIST, UNDER HMDA",RANGAREDDI,Private-Self Financing,N,Y,1-10381411,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10975233657,ST. MARY'S ENGINEERING COLLEGE,"NEAR RAMOJI FILM CITY, BEHIND MOUNT OPERA, DESHMUKHI (V), POCHAMPALLY (M), NALGONDA (DT.) & BATASINGARAM (V), HAYATHNAGAR (M), NALGONDA DIST. UNDER HMDA",RANGAREDDI,Private-Self Financing,N,Y,1-10311411,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10975258516,"MAULANA AZAD NATIONAL URDU UNIVERSITY, POLYTECHNIC HYDERABAD","MAULANA AZAD NATIONAL URDU UNIVERSITY, GACHIBOWLI, HYDERABAD 500 032",HYDERABAD,Government,N,N,1-782795311,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10975140952,"GOVERNMENT PLYTECHNIC, GADWAL",KLI CAMP,MAHABUBNAGAR,Government,N,N,1-459874841,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10975141073,A.P.GOVERNMENT INSTITUTE OF LEATHER TECHNOLOGY,HUSSAIN SHAWALI DARGA GOLCONDA POST HYDERABAD 500 008,RANGAREDDI,Government,N,N,1-463865741,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10975141276,GOVT.POLYTECHNIC PARKAL,C/O GOVT JR COLLEGE COMPOUND,WARANGAL,Government,N,N,1-465035071,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10975265301,"SCHOOL OF INFORMATION TECHNOLOGY, JNTUH",KUKATPALLY,HYDERABAD,Government,N,N,1-496372761,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10975301274,UNIVERSITY COLLEGE OF TECHNOLOGY,"OSMANIA UNIVERSITY, HYDERABAD",HYDERABAD,Govt aided,N,N,1-31145371,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10975206557,NEIL GOGTE INSTITUTE OF TECHNOLOGY,"SURVEY NO 35,KACHVANI SINGARAM VILLAGE,UPPAL",RANGAREDDI,Private-Self Financing,N,N,1-3348023575,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10975226896,SANJAY GANDHI MEMORIAL GOVERNMENT POLYTECHNIC,"NEAR RAMOJI FILM CITY, ABDULLAPURMET",RANGAREDDI,Government,N,N,1-454209341,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10975328214,SWAMI VIVEKANANDA INSTITUTE OF TECHNOLOGY,MAHBUB COLLEGE CAMPUS SECUNDERABAD - 3,HYDERABAD,Private-Self Financing,N,N,1-3982824,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10975307681,TRINITY COLLEGE OF ENGINEERING & TECHNOLOGY,KARIMNAGAR-505001,KARIMNAGAR,Private-Self Financing,N,N,1-7249111,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10975146840,PRINCETON INSTITUTE OF ENGINEERING & TECHNOLOGY FOR WOMEN,CHOWDARYGUDA  VILLAGE GHATKESAR MANDAL  RANGA REDDY DISTRICT-501301,RANGAREDDI,Private-Self Financing,Y,N,1-7509991,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10975092637,MOTHER THERESSA COLLEGE OF ENGINEERING & TECHNOLOGY,"POST: P.P. COLONY, PEDDABONKUR VILLAGE, PEDDAPALLY MANDAL, KARIMNAGAR DIST, ANDHRA PRADESH.",KARIMNAGAR,Private-Self Financing,N,Y,1-5854201,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10975094189,JAYAMUKHI INSTITUTE OF TECHNOLOGICAL SCIENCES,"CHENNARAOPET(MDL), MOQDUMPURAM(VILL), NARSAMPET,WARANGAL(DIST) ANDHRAPRADESH.",WARANGAL,Private-Self Financing,N,N,1-7351531,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10975249623,STANLEY COLLEGE OF ENGINEERING & TECHNOLOGY FOR WOMEN,"# 5-9-78 TO 82, B-1-80 & 5-9-81,  CHAPEL ROAD,  ABIDS,  HYDERABAD - 500001",HYDERABAD,Private-Self Financing,Y,N,1-6531631,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10974932246,SANA ENGINEERING COLLEGE,NH-9 KODAD NALGONDA DIST ANDHRA PRADESH,NALGONDA,Private-Self Financing,N,Y,1-20002871,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10974990856,SHADAN WOMEN'S COLLEGE OF ENGINEERING & TECHNOLOGY,"6-2-980, KHAIRTABAD, HYDERABAD - 500 004",HYDERABAD,Private-Self Financing,Y,Y,1-6549861,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10975051721,QULI QUTUB SHAH GOVERNMENT POLYTECHNIC,"QULI QUTUBSHA GOVERNMENT POLYTECHNIC, OPP.LANE TO ZOO PARK,CHANDULAL BARADARI, BAHADURPURA, HYDERABAD-500064 ANDHRA PRADESH",HYDERABAD,Government,N,N,1-465653531,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10975051980,GOVERNMENT POLYTECHNIC NALGONDA,"OPP. INCOME TAX OFFICE,",NALGONDA,Government,N,N,1-455387341,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10974965918,"GOVT.POLYTECHNIC,SIDDIPET","ZPHS CAMPUS, MEDAK ROAD, SIDDIPET, DIST. MEDAK PIN 502103",MEDAK,Government,N,N,1-453791809,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10975043962,GOVERNMENT POLYTECHNIC FOR WOMEN SECUNDERABAD,"EAST NEHRU NAGAR, EAST MARREDPALLY, SECUNDERABAD",HYDERABAD,Government,Y,N,1-4495975871,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10997586193,CHAITANYA (DEEMED TO BE UNIVERSITY),"H.NO: 5-11-43/D KISHANPURA,NAYEEMNAGAR, HANAMKONDA,WARANGAL",WARANGAL,Deemed to be University(Pvt),N,N,1-2403671,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-11305897910,C R RAO ADVANCED INSTITUTE OF MATHEMATICS STATISTICS AND COMPUTER SCIENCE,"C.R.RAO ADVANCED INSTITUTE OF MATHEMATICS, STATISTICS AND COMPUTER SCIENCE (AIMSCS) UNIVERSITY OF HYDERABAD CAMPUS,  PROF.CRRAO ROAD",HYDERABAD,Govt aided,N,N,1-3722535124,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10975674013,"CENTRAL INSTITUTE OF TOOL DESIGN/ MSME TOOL ROOM, HYDERABAD",BALANAGAR HYDERABAD - 500 037 ANDHRA PRADESH,RANGAREDDI,Government,N,N,1-6551241,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
1-10975801219,"DR BR AMBEDKAR GOVERNMENT MODEL RESIDENTIAL POLYTECHNIC FOR WOMEN(SC),KARIMNAGAR","NTR MARG,NEAR UJWALA PARK",KARIMNAGAR,Government,Y,N,1-455538151,fetchdata,2022-2023,Engineering and Technology,1,1,1,1,Telangana,1
