institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-40383833640,DEENBANDHU CHHOTU RAM UNIVERSITY OF SCI AND TECH,MURTHAL,SONEPAT,State Government University,N,N,1-499393291,fetchdata,2023-2024,Engineering and Technology,1,1,1,1,Haryana,1
1-40616485624,GOVERNMENT  POLYTECHNIC AMBALA CITY,"OPPOSITE CIVIL HISPITAL, NEAR ARYA CHOWK,",AMBALA,Government,N,N,1-485740861,fetchdata,2023-2024,Engineering and Technology,1,1,1,1,Haryana,1
1-40382496656,LINGAYA'S VIDYAPEETH DEEMED TO BE UNIVERSITY,"NACHAULI, JASANA ROAD, OLD FARIDABAD",FARIDABAD,Deemed to be University(Pvt),N,N,1-3721765691,fetchdata,2023-2024,Engineering and Technology,1,1,1,1,Haryana,1
1-40383304254,S.D. MEWAT INSTITUTE OF ENGINEERING & TECHNOLOGY- TECHNICAL CAMPUS,"VILL. RAWLI, TEHSIL FIROZPUR, JHIRKA, DISTT. MEWAT (HR.)",GURGAON,Private-Self Financing,N,N,1-448312231,fetchdata,2023-2024,Engineering and Technology,1,1,1,1,Haryana,1
1-41103919918,GANGA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,"20 KM MILESTONE, JHAJJAR- BAHADURGARH ROAD VILL. KABLANA, DISTT. JHAJJAR, HARYANA",JHAJJAR,Private-Self Financing,N,N,1-8077204,fetchdata,2023-2024,Engineering and Technology,1,1,1,1,Haryana,1
1-38674260170,AKIDO COLLEGE OF ENGINEERING,"SAHPUR- BUPANIA ROAD, VILLAGE - LOWAKHURD",JHAJJAR,Private-Self Financing,N,N,1-475403013,fetchdata,2023-2024,Engineering and Technology,1,1,1,1,Haryana,1
1-38685401087,ST. ANDREWS INSTITUTE OF TECHNOLOGY & MANAGEMENT,"VILLAGE KHURRAMPUR, FARRUKH NAGAR, HAILEY MANDI ROAD, GURGAON, HARYANA",GURGAON,Private-Self Financing,N,N,1-2195791501,fetchdata,2023-2024,Engineering and Technology,1,1,1,1,Haryana,1
1-38687000111,UNIVERSITY INSTITUTE OF ENGINEERING AND TECHNOLOGY (PG),"UIET(PG), KURUKSHETRA UNIVERSITY KURUKSHETRA",KURUKSHETRA,State Government University,N,N,1-480694091,fetchdata,2023-2024,Engineering and Technology,1,1,1,1,Haryana,1
1-38673112562,GOVT. POLYTECHNIC CUM MULTI SKILL TRAINING CENTRE DHAMLAWAS,VILL DHAMLAWAS POST OFFICE PITHRAWAS TEHSIL MANETHI DISTRICT REWARI PIN CODE 123101,REWARI,Government,N,N,1-4878352591,fetchdata,2023-2024,Engineering and Technology,1,1,1,1,Haryana,1
1-38685690339,"CH. DEVI LAL STATE INSTITUTE OF ENGINEERING & TECHNOLOGY, PANNIWALA MOTA, SIRSA","21 MILESTONE, SIRSA DABWALI ROAD, PANNIWALA MOTA",SIRSA,Government,N,N,1-10423931,fetchdata,2023-2024,Engineering and Technology,1,1,1,1,Haryana,1
