institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-7011302075,BHAI MAHA SINGH COLLEGE OF ENGINEERING, VILLAGE  UDEKARAN  KOTKAPURA ROAD  MUKTSAR,MUKATSAR,Private-Self Financing,N,N,1-11934400,fetchdata,2023-2024,Engineering and Technology,1,1,1,1,Punjab,1
1-40090282222,GHUBAYA COLLEGE OF ENGINEERING & TECHNOLOGY," VILLAGE - SUKHERA BODLA, P.O. LAMOCHAR KALAN, TEH. JALALABAD(WEST)",FIROZPUR,Private-Self Financing,N,N,1-7066901,fetchdata,2023-2024,Engineering and Technology,1,1,1,1,Punjab,1
1-40089495168,"BEANT COLLEGE OF ENGINEERING & TECHNOLOGY,GURDASPUR","POST BOX NO. 13, VILLAGE BARIAR",GURDASPUR,Government,N,N,1-6098731,fetchdata,2023-2024,Engineering and Technology,1,1,1,1,Punjab,1
1-43373885423,CHANDIGARH COLLEGE OF ENGINEERING,"LANDRAN SIRHIND HIGHWAY JHANJERI SAS NAGAR, MOHALI, PUNJAB",S.A.S NAGAR,Private-Self Financing,N,N,1-43373885423,fetchdata,2023-2024,Engineering and Technology,1,1,1,1,Punjab,1
1-40665658791,"KC COLLEGE OF ENGINEERING & INFORMATION TECHNOLOGY, NAWANSHAHR","KARIAM ROAD, NAWANSHAHR VPO - KARIAM TEL. - NAWANSHAHR PUNJAB - 144514",SHAHID BHAGAT SINGH NAGAR,Private-Self Financing,N,N,1-10643461,fetchdata,2023-2024,Engineering and Technology,1,1,1,1,Punjab,1
1-43370816116,"DESH BHAGAT FOUNDATION GROUP OF INSTITUTIONS, FEROZPUR ROAD MOGA",DESH BHAGAT FOUNDATION GROUP OF INSTITUTIONS FEROZPUR ROAD MOGA,MOGA,Private-Self Financing,N,N,1-23528205,fetchdata,2023-2024,Engineering and Technology,1,1,1,1,Punjab,1
1-38677405766,ABOHAR POLYTECHNIC COLLEGE,VPO KALA TIBBA  ABOHAR,FIROZPUR,Private-Self Financing,N,N,1-478440551,fetchdata,2023-2024,Engineering and Technology,1,1,1,1,Punjab,1
1-38682116884,LALA LAJPAT RAI MEMORIAL POLYTECHNIC COLLEGE,V.P.O. AJITWAL(MOGA),MOGA,Private-Self Financing,N,N,1-465931641,fetchdata,2023-2024,Engineering and Technology,1,1,1,1,Punjab,1
1-38679146743,GLOBAL GROUP OF INSTITUTES,"11TH KM STONE, SOHIAN KHURD AMRITSAR-BATALA ROAD AMRITSAR",AMRITSAR,Private-Self Financing,N,N,1-4449363,fetchdata,2023-2024,Engineering and Technology,1,1,1,1,Punjab,1
1-38685365111,BABA FARID COLLEGE OF ENGINEERING & TECHNOLOGY,"VILLAGE DEON, MUKTSAR ROAD, BATHINDA",BATHINDA,Private-Self Financing,N,N,1-4571491,fetchdata,2023-2024,Engineering and Technology,1,1,1,1,Punjab,1
1-38690285790,NEW PUNJAB POLYTECHNIC COLLEGE,TALWANDI SABO-SARDULGARH ROAD,BATHINDA,Private-Self Financing,N,N,1-473850571,fetchdata,2023-2024,Engineering and Technology,1,1,1,1,Punjab,1
1-38669680721,RAM DEVI JINDAL EDUCATIONAL CHARITABLE SOCIETY GROUP OF INSTIUTIONS,"RAM DEVI JINDAL EDUCATIONAL CHARITABLE SOCIETY GROUP OF INSTITUTIONS, VILLAGE BASOLI ,P.O RANIMAJRA- 140501,TEHSIL DERABASSI DISTT. MOHALI (PUNJAB)",MOHALI,Private-Self Financing,N,N,1-14596864,fetchdata,2023-2024,Engineering and Technology,1,1,1,1,Punjab,1
