institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-43663524764,INDO-SWISS TRAINING CENTRE,"CENTRAL SCIENTIFIC INSTRUMENT ORGANISATION, SECTOR 30",CHANDIGARH,Government,N,N,1-455718741,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Chandigarh,1
1-43664310920,"CHANDIGARH COLLEGE OF ENGG. & TECH. (DIPLOMA WING), CHANDIGARH","CCET (DIPLOMA WING), SECTOR-26, CHANDIGARH",CHANDIGARH,Government,N,N,1-415325751,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Chandigarh,1
1-43662323112,NATIONAL INSTITUTE OF TECHNICAL TEACHERS TRAINING & RESEARCH,"NATIONAL INSTITUTE OF TECHNICAL TEACHERS TRAINING & RESEARCH, SECTOR â 26, CHANDIGARH â 160 019 (FULLY FINANCED BY DEPARTMENT OF HIGHER EDUCATION, MINISTRY OF EDUCATION, GOVT. OF INDIA)",CHANDIGARH,Deemed to be University(Govt),N,N,1-13119431,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Chandigarh,1
1-43664374131,GOVT.POLYTECHNIC FOR WOMEN,"GOVT. POLYTECHNIC FOR WOMEN, SEC 10-D,CHANDIGARH",CHANDIGARH,Government,Y,N,1-445641901,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Chandigarh,1
1-43658559127,PUNJAB ENGINEERING COLLEGE DEEMED TO BE UNIVERSITY,PEC UNIVERSITY OF TECHNOLOGY SECTOR 12 CHANDIGARH,CHANDIGARH,Deemed to be University(Govt),N,N,1-2519066781,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Chandigarh,1
1-43656981010,UNIVERSITY INSTITUTE OF ENGINEERING AND TECHNOLOGY,"UNIVERSITY INSTITUTE OF ENGINEERING AND TECHNOLOGY SOUTH CAMPUS, SECTOR 25, PANJAB UNIVERSITY, CHANDIGARH.",CHANDIGARH,State Government University,N,N,1-5719293,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Chandigarh,1
1-43656638956,CHANDIGARH COLLEGE OF ENGINEERING AND TECHNOLOGY,CHANDIGARH COLLEGE OF ENGINEERING AND TECHNOLOGY SECTOR-26 CHANDIGARH-160019 WWW.CCET.AC.IN,CHANDIGARH,Government,N,N,1-3134514,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Chandigarh,1
1-43658377556,SVKMS NMIMS DEEMED TO BE UNIVERSITY,PLOT NO5 OPP BOTANICAL GARDEN SARANGPUR CHANDIGARH,CHANDIGARH,Deemed to be University(Pvt),N,N,1-11446279981,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Chandigarh,1
1-43655415443,"DR.S.S. BHATNAGAR UNIVERSITY INSTITUTE OF CHEMICAL ENGG. & TECH., PANJAB UNIVERSITY, CHANDIGARH.","PANJAB UNIVERSITY, SECTOR 14",CHANDIGARH,State Government University,N,N,1-455915321,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Chandigarh,1
1-43659421546,SRI GURU GOBIND SINGH COLLEGE OF PHARMACY,SECTOR 26,CHANDIGARH,Private-Self Financing,N,N,1-449910521,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Chandigarh,1
1-43659055611,PANJAB UNIVERSITY,"UCIM (UNIVERSITY CENTRE FOR INSTRUMENTATION AND MICROELECTRONICS), PANJAB UNIVERSITY, CHANDIGARH.",CHANDIGARH,State Government University,N,N,1-513868571,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Chandigarh,1
