institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-44579507420,SCMS SCHOOL OF ENGINEERING & TECHNOLOGY,"VIDYA NAGAR, PALISSERY, KARUKUTTY",ERNAKULAM,Private-Self Financing,N,N,1-7925911,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Kerala,1
1-43663908091,AWH POLYTECHNIC COLLEGE,"PATTAYAD KUNNU, KUTTIKKATTOOR.",KOZHIKODE,Private-Self Financing,N,N,1-467727335,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Kerala,1
1-43663851985,COLLEGE OF ENGINEERING POONJAR,POONJAR THEKKEKARA P.O. KOTTAYAM DISTRICT KERALA STATE PIN 686 582,KOTTAYAM,Government,N,N,1-11027101,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Kerala,1
1-43663558388,CHRIST COLLEGE OF ENGINEERING,"CHRIST COLLEGE OF ENGINEERING IRINJALAKUDA THRISSUR 680125 KERALA, INDIA",THRISSUR,Private-Self Financing,N,Y,1-2478389201,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Kerala,1
1-43663861285,SREE NARAYANA POLYTECHNIC COLLEGE,SREE NARAYANA POLYTECHNIC COLLEGE  KOTTIYAM KOLLAM KERALA,KOLLAM,Govt aided,N,N,1-493158351,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Kerala,1
1-43663977501,M.DASAN INSTITUTE OF TECHNOLOGY,ULLIYERI ULLIYERI P.O KOZHIKODE DIST. KERALA,KOZHIKODE,Private-Self Financing,N,N,1-513234641,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Kerala,1
1-43663920385,INDIAN INSTITUTE OF SPACE SCIENCE AND TECHNOLOGY,VALIAMALA P.O.,THIRUVANANTHAPURAM,Deemed to be University(Govt),N,N,1-3666786972,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Kerala,1
1-43663504089,"UNIVERSITY COLLEGE OF ENGINEERING, KARIAVATTOM",GOLDEN JUBILEE BUILDING KERALA UNIVERSITY CAMPUS KARIAVATTOM TRIVANDRUM-695 581,THIRUVANANTHAPURAM,Private-Self Financing,N,N,1-19889278,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Kerala,1
1-43663866000,"SREE BUDDHA COLLEGE OF ENGINEERING, PATTOOR",PATTOOR. POST (VIA) PADANILAM ALAPPUZHA DISTRICT KERALA,ALAPPUZHA,Private-Self Financing,N,N,1-7414498,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Kerala,1
1-43663810677,DEPARTMENT OF PHYSICAL OCEANOGRAPHY,"SCHOOL OF MARINE SCIENCES, FORESHORE ROAD, FINE ARTS AVENUE",ERNAKULAM,Government,N,N,1-478355051,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Kerala,1
1-43663871126,MALABAR POLYTECHNIC CAMPUS,CHERPULASSERY -POST PALAKKAD - DIST,PALAKKAD,Private-Self Financing,N,Y,1-431809361,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Kerala,1
1-43663690612,"DEPARTMENT OF INSTRUMENTATION, COCHIN UNIVERSITY OF SCIENCE AND TECHNOLOGY",COCHIN UNIVERSITY P.O. KALAMASSERY COCHIN - 682022,ERNAKULAM,State Government University,N,N,1-3371646341,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Kerala,1
1-43663812555,INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY - KANNUR,THOTTADA  KIZHUNNA PO KANNUR-07 KERALA,KANNUR,Government,N,N,1-1549983557,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Kerala,1
1-43663994726,MUSALIAR COLLEGE OF ENGINEERING AND TECHNOLOGY PATHANAMTHITTA,MUSALIAR COLLEGE.P.O PATHANAMTHITTA,PATHANAMTHITTA,Private-Self Financing,N,Y,1-22167934,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Kerala,1
1-43663999985,ER&DCI INSTITUTE OF TECHNOLOGY,"CDAC CAMPUS, VELLAYAMBALAM, TRIVANDRUM 695033",THIRUVANANTHAPURAM,Government,N,N,1-19870263,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Kerala,1
1-43664000858,"GOVT. POLYTECHNIC COLLEGE, CHERTHALA",MARUTHORVATTOM P.O,ALAPPUZHA,Government,N,N,1-487646591,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Kerala,1
1-43663581664,KMCT COLLEGE OF ENGINEERING,"KMCT COLLEGE OF ENGINEERING KALANTHODE, MANASSERY POST MUKKAM  (VIA) KOZHIKODE KERALA  PIN:673602",KOZHIKODE,Private-Self Financing,N,Y,1-13364111,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Kerala,1
1-43663820671,"E K NAYANAR MEMORIAL GOVERNMENT POLYTECHNIC COLLEGE, THRIKKARIPPUR",TRIKARIPUR UDINUR PO KASARAGOD,KASARAGOD,Government,N,N,1-455626311,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Kerala,1
1-43663882379,MAR BASELIOS INSTITUTE OF TECHNOLOGY AND SCIENCE,"NELLIMATTOM P.O. KOTHAMANGALAM, ERNAKULAM DISTRICT., KERALA - 686693",ERNAKULAM,Private-Self Financing,N,Y,1-4671968,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Kerala,1
1-43663941190,A.K.M.POLYTECHNIC COLLEGE,"NEDUMBANA,",KOLLAM,Private-Self Financing,N,Y,1-396973721,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Kerala,1
1-43663827171,MODEL POLYTECHNIC COLLEGE PAINAVU,PAINAVU P O  KUYILIMALA IDUKKI,IDUKKI,Government,N,N,1-473862781,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Kerala,1
1-43663942375,KERALA GOVERNMENT POLYTECHNIC COLLEGE KOZHIKODE,WESTHILL,KOZHIKODE,Government,N,N,1-478242841,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Kerala,1
