institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-43664321666,"ENGINEERING COLLEGE,AJMER",JAIPUR BEAWER HIGHWAY NH-8 BARLIYA CIRCLE,AJMER,Government,N,N,1-6695771,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Rajasthan,1
1-43663722547,"CHARTERED INSTITUTE OF TECHNOLOGY , ABU- ROAD","KHASARA NO. 276/252, VILLAGE DANVAV, MOUNT ROAD , TALHATI ABU-ROAD  DISTRIC- SIROHI ,RAJASTHAN",SIROHI,Private-Self Financing,N,N,1-3583251,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Rajasthan,1
1-43663785617,DR. RADHAKRISHNAN POLYTECHNIC COLLEGE,"KALAWARA, NEAR MAHINDRA WORLD CITY(SEZ),AJMER ROAD, JAIPUR",JAIPUR,Private-Self Financing,N,N,1-478429761,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Rajasthan,1
1-43664035172,BAL KRISHNA INSTITUTE OF TECHNOLOGY,"IPC-15, RIICO INSTITUTIONAL AREA, RANPUR, KOTA",KOTA,Private-Self Financing,N,N,1-1423562371,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Rajasthan,1
1-43663491296,SLBS ENGINEERING COLLEGE,"NH-112,       JODHPUR-JAIPUR HIGHWAY, NEAR VILLAGE DANGIYAWAS, JODHPUR (RAJASTHAN)",JODHPUR,Private-Self Financing,N,N,1-5607686,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Rajasthan,1
1-43663553452,KRISHNA INSTITUTE OF TECHNOLOGY AND ENGINEERING,CHIMANPURA,PALI,Private-Self Financing,N,N,1-512217183,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Rajasthan,1
1-43664348101,LAXMIDHAR POLYTECHNIC COLLEGE,"1N-3, MIA, RIICO, ALWAR(RAJASTHAN)",ALWAR,Private-Self Financing,N,N,1-2069672981,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Rajasthan,1
1-43664043676,RAJASTHAN ENGINEERING COLLEGE,"SOMNATH NAGAR, GANESHPURA ROAD,",DAUSA,Private-Self Financing,N,N,1-442026761,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Rajasthan,1
1-43663627180,"BRIGHT CAREER POLYTECHNIC COLLEGE,NOKHA(BIKANER)","BRIGHT CAREER POLYTECHNIC COLLEGE NH-89,BHAMATSAR,NOKHA(BIKANER)",BIKANER,Private-Self Financing,N,N,1-494857171,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Rajasthan,1
1-43663995951,GOVERNMENT POLYTECHNIC COLLEGE BARAN,VILLAGE- BATAWADI TEHSIL- ANTA DISTRICT- BARAN PIN - 325205,KOTA,Government,N,N,1-456639051,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Rajasthan,1
1-43663513882,GOVERMENT POLYTECHNIC COLLEGE AJMER,MAKHUPURA AJMER,AJMER,Government,N,N,1-454858411,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Rajasthan,1
1-43663517785,"SH.GOKUL BHAI BHATT,GOVERNMENT POLYTECHNIC COLLEGE,SIROHI",NEAR VILLAGE -MANDWA,SIROHI,Government,N,N,1-455425541,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Rajasthan,1
1-43664063842,GOVERNMENT ENGINEERING COLLEGE BHARATPUR,VILLAGE SHYORANA NEAR NATIONAL HIGHWAY 11 BHARATPUR,BHARATPUR,Government,N,N,1-15056181,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Rajasthan,1
1-43663522756,SCHOOL OF AERONAUTICS(NEEMRANA),"I 04, RIICO INDUSTRIAL AREA, NEEMRANA, RAJASTHAN",ALWAR,Private-Self Financing,N,N,1-527369871,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Rajasthan,1
1-43663948674,B.K. BIRLA INSTITUTE OF ENGINEERING AND TECHNOLOGY,"BKBIET, CEERI ROAD PILANI",JHUNJHUNU,Private-Self Financing,N,N,1-13683922,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Rajasthan,1
1-43664013075,PACIFIC POLYTECHNIC COLLEGE,"PACIFIC HILLS, PRATAP NAGAR EXTN., AIRPORT ROAD, UDAIPUR",UDAIPUR,State Private University,N,N,1-502035121,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Rajasthan,1
1-43664017029,MAHATMA GANDHI ENGINEERING COLLEGE,"BADA PADAMPURA ROAD, TONK ROAD, SHIVDASPURA TONK ROAD, JAIPUR",JAIPUR,Private-Self Financing,N,N,1-5476191,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Rajasthan,1
1-43663603715,SUGAN INSTITUTE OF TECHNOLOGY & ENGINEERING,"POKRAN ROAD, PHALODI DIST. â JODHPUR (RAJ.) 342301",JODHPUR,Private-Self Financing,N,N,1-480822241,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Rajasthan,1
1-43673550151,YADUVANSHI COLLEGE OF ENGINEERING AND TECHNOLOGY,VPO SOHALI TEHSIL BUHANA DISTT. JHUNJHUNU 333515,JHUNJHUNU,Private-Self Financing,N,N,1-514915151,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Rajasthan,1
1-44035903843,TRIBHUVAN COLLEGE OF ENVIRONMENT AND DEVELOPMENT SCIENCES NALANDA UNIVERSITY CENTRE,"PLOT NO. 203 & 204, RIICO NEW INDUSTRIAL COMPLEX MAJRAKATH, NEEMRANA",ALWAR,Private-Self Financing,N,N,1-44035903843,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Rajasthan,1
1-43662015874,GLOBAL INSTITUTE OF TECHNOLOGY,"ITS-1, IT PARK, EPIP, SITAPURA",JAIPUR,Private-Self Financing,N,N,1-5167031,fetchdata,2024-2025,Engineering and Technology,1,1,1,1,Rajasthan,1
