institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-44638462874,"SERSHAH ENGINEERING COLLEGE, SASARAM","SERSHAH ENGINEERING COLLEGE,SASARAM , VILL+POST - BARKI KHARARI, POLICE STATION - KARGAHAR, NEAR BY BARKI KHARARI NEW PANCHAYAT BHAWAN,SASARAM, DIST- ROHTAS(BIHAR), PIN - 821113",ROHTAS,Government,N,N,1-2883298784,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Bihar,1
1-44638551196,GOVERNMENT POLYTECHNIC ARWAL,CAMPUS OF GOVT. POLYTECHNIC ASTHAWAN NALANDA,NALANDA,Government,N,N,1-5024188191,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Bihar,1
1-44638506831,GOVERNMENT ENGINEERING COLLEGE SIWAN,"GOVERNMENT ENGINEERING COLLEGE SIWAN, MAIRWA ROAD, OLD SUTA MILL FACTORY, BHADA KHURD, SIWAN 841226 (BIHAR)",SIWAN,Government,N,N,1-5027996251,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Bihar,1
1-44638507842,ARYABHATT POLYTECHNIC,"VILLAGE - HARIHARPUR, POST - AMWAN, P.S. - BODH GAYA, DISTRICT - GAYA",GAYA,Private-Self Financing,N,N,1-5075632951,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Bihar,1
1-44638425424,"BRAJ KISHOR NARAYAN SINGH GOVERNMENT POLYTECHNIC, GOPALGANJ","VILL-MANTENGRAHI, PO- MAHARANI, PS- MAHAMMADPUR, VIA- BAIKUNTHPUR, DIST-GOPALGANJ, BIHAR-841409",GOPALGANJ,Government,N,N,1-2888623561,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Bihar,1
1-44638510444,GOVERNMENT ENGINEERING COLLEGE WEST  CHAMPARAN,"TEMPORARY CAMPUS MOTIHARI COLLEGE OF ENGINEERING, MOTIHARI,  NH 28A, FURSHATPUR BARIYARPUR, MOTIHARI, BIHAR 845401",WEST CHAMPARAN,Government,N,N,1-5053583941,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Bihar,1
1-44638361027,"B. P. MANDAL COLLEGE OF ENGINEERING, MADHEPURA","B.P. MANDAL COLLEGE OF ENGINEERING, MADHEPURA AT- MAJRAHAT PS- SINGHESHWAR, DIST- MADHEPURA, PIN- 852128, BIHAR",MADHEPURA,Government,N,N,1-2884799241,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Bihar,1
1-44638376795,GOVERNMENT ENGINEERING COLLEGE MUNGER,"GOVERNMENT ENGINEERING COLLEGE MUNGER, CHURAMBA ROAD, SAJAWALPUR, MUNGER, BIHAR 811201",MUNGER,Government,N,N,1-4914129831,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Bihar,1
1-44638377325,GOVERNMENT ENGINEERING COLLEGE ARWAL,"GOVERNMENT ENGINEERING COLLEGE ARWAL, PATNA AURANGABAD ROAD, AT MEHANDIA MARKET, KOYAL BHUPAT ROAD AT SHIVPUR VILLAGE, PO- USARI, PS- MEHANDIA, BLOCK - KALER, ARWAL, BIHAR-804428",GAYA,Government,N,N,1-5066533221,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Bihar,1
1-44638516685,GOVERNMENT POLYTECHNIC NAWADA,"AT- KHANWAN P.S.- NARHAT, NAWADA",NAWADA,Government,N,N,1-3730055151,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Bihar,1
1-44638379083,BAKHTIYARPUR COLLEGE OF ENGINEERING,"BAKHTIYARPUR COLLEGE OF ENGINEERING, AT- CHAMPAPUR, DEDAUR, PO+PS- BAKHTIYARPUR, DISTRICT- PATNA, PIN - 803212",PATNA,Government,N,N,1-2881506611,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Bihar,1
1-44638494709,"KAMESHWAR NARAYAN SINGH GOVERNMENT POLYTECHNIC, SAMASTIPUR","KISHANPUR TABHKA, SAMASTIPUR",SAMASTIPUR,Government,N,N,1-2881176921,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Bihar,1
1-44638442596,"GOVERNMENT POLYTECHNIC, MADHEPURA","AT- DHURIA KALASAN, P.O.- DHURIA KALASAN, ANCHAL- CHOUSA, DIST- MADHEPURA, PIN- 852213",SUPAUL,Government,N,N,1-2877056111,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Bihar,1
1-44638443076,GIRIJA DEVI POLYTECHNIC COLLEGE,"PLOT NO-A-4(P) & A-5(P) INDUSTRIAL AREA, DISTRICT- BHOJPUR, BIHIYA, BIHAR- 802152",BHOJPUR,Private-Self Financing,N,N,1-2510129621,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Bihar,1
1-44638499386,GOVERNMENT POLYTECHNIC KHAGARIA,"GOVERNMENT POLYTECHNIC KHAGARIA, AT- MAHADDIPUR, PASRAHA, KHAGARIA, BIHAR, 851212",KATIHAR,Government,N,N,1-5037681371,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Bihar,1
1-44638527070,MILLIA KISHANGANJ COLLEGE OF ENGINEERING & TECHNOLOGY,VERIADANGI,KISHANGANJ,Private-Self Financing,N,Y,1-16433411,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Bihar,1
1-44638372869,GOVERNMENT POLYTECHNIC OF TEXTILE TECHNOLOGY,"LOWER NATHNAGAR,LALMATIA CHOWK ,NATHNAGAR, BHAGALPUR",BHAGALPUR,Government,N,N,1-11539227991,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Bihar,1
1-44638459278,GOVERNMENT POLYTECHNIC BHOJPUR,"GOVERNMENT POLYTECHNIC BHOJPUR ,KAKILA, JAGDISHPUR, BHOJPUR, BIHAR, PIN-802158",PATNA,Government,N,N,1-4933451031,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Bihar,1
1-44638459763,GOVERNMENT ENGINEERING COLLEGE BUXAR,"GOVERNMENT ENGINEERING COLLEGE BUXAR, AT- MAHDAH, ITARHI ROAD, NEAR POLICE LINE, P.O.- GAJADHAR GANJ, BUXAR, PIN- 802103",BUXAR,Government,N,N,1-5080628101,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Bihar,1
