institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-36972806726,GOVERNMENT POLYTECHNIC PEREN,"NEW PEREN, PEREN DISTRICT",PEREN,Government,N,N,1-11301295001,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Nagaland,1
1-44638332189,ST. JOSEPH UNIVERSITY,"VIRGIN TOWN, IKISHE  VILLAGE",DIMAPUR,State Private University,N,N,1-3702691021,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Nagaland,1
1-44638274367,"GOVERNMENT POLYTECHNIC SEITHEKEMA C, CHUMOUKEDIMA","GOVERNMENT POLYTECHNIC SEITHEKEMA-C, DIMAPUR 797103",DIMAPUR,Government,N,N,1-3898484361,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Nagaland,1
1-44638907484,GOVERNMENT POLYTECHNIC ABOI,"ABOI TOWN, MON DISTRICT",MON,Government,N,N,1-11315201771,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Nagaland,1
1-44638797258,GOVERNMENT POLYTECHNIC TSUNAZHO CHETHEBA,"GOVERNMENT POLYTECHNIC TSUNAZHO, CHETHEBA, PHEK, 797108",PHEK,Government,N,N,1-3898580681,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Nagaland,1
1-44638798219,GOVERNMENT POLYTECHNIC SEDEM,GOVERNMENT POLYTECHNIC SEDEM TUENSANG,TUENSANG,Government,N,N,1-3898707101,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Nagaland,1
1-44639902595,NAGALAND TOOL ROOM & TRAINING CENTRE,"NAGALAND TOOL ROOM & TRAINING CENTRE, NEW INDUSTRIAL, NEAR SUB-JAIL JUNCTION, TINALI, NH-36, DIMAPUR, NAGALAND 797112",DIMAPUR,Govt aided,N,N,1-2094042981,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Nagaland,1
1-44639918314,KHELHOSHE POLYTECHNIC ATOIZU,KHELHOSHE POLYTECHNIC ATOIZU : ZUNHEBOTO: NAGALAND,ZUNHEBOTO,Government,N,N,1-2506807231,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Nagaland,1
1-44640663638,INSTITUTE OF COMMUNICATION AND INFORMATION TECHNOLOGY,INSTITUTE OF COMMUNICATION & INFORMATION TECHNOLOGY MOKOKCHUNG: NAGALAND 798601 POST BOX-131,MOKOKCHUNG,Government,N,N,1-2498927471,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Nagaland,1
1-44640246705,GOVERNMENT POLYTECHNIC KOHIMA,"GOVERNMENT POLYTECHNIC KOHIMA, NEAR I.G STADIUM, KOHIMA,  NAGALAND 797001",KOHIMA,Government,N,N,1-2492116821,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Nagaland,1
1-44641022997,SCHOOL OF ENGINEERING AND TECHNOLOGY,"SCHOOL OF ENGINEERING & TECHNOLOGY, NAGALAND UNIVERSITY, KOHIMA CAMPUS, MERIEMA, KOHIMA, NAGALAND 797004",KOHIMA,Central University,N,N,1-1471259901,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Nagaland,1
