institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-44638381422,ACHARIYA COLLEGE OF ENGINEERING TECHNOLOGY,"URUVAIYARU, ACHARIYAPURAM VILLIANOOR PUDUCHERRY- PUDUCHERRY- 605 110",PUDUCHERRY,Private-Self Financing,N,N,1-10830181,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Puducherry,1
1-44638096722,ALPHA COLLEGE OF ENGINEERING & TECHNOLOGY,KANNIAKOIL TO BAHOUR MAIN ROAD BAHOUR - 607 402,PUDUCHERRY,Private-Self Financing,N,N,1-5979231,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Puducherry,1
1-44638167650,PONDICHERRY UNIVERSITY,"DR. B.R. AMBEDKAR BUILDING, R.V. NAGAR, KALAPET",PUDUCHERRY,Central University,N,N,1-9525134661,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Puducherry,1
1-44639411026,SRI MANAKULA VINAYAGAR POLYTECHNIC COLLEGE,"KALITHEERTHALKUPPAM, MADAGADIPET, PONDICHERRY",PUDUCHERRY,Private-Self Financing,N,N,1-454063381,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Puducherry,1
1-44640152102,WOMENâS ENGINEERING COLLEGE,"AIRPORT ROAD, LAWSPET,",PUDUCHERRY,Government,Y,N,1-466670321,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Puducherry,1
1-44639890323,KARAIKAL POLYTECHNIC COLLEGE,VARICHIKUDY KOTTUCHERRY POST,PUDUCHERRY,Government,N,N,1-424551451,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Puducherry,1
1-44640322226,"INDIRA GANDHI POLYTECHNIC COLLEGE, MAHE",PONDAYAT KUNNU CHALAKKARA NEW MAHE POST-673311,MAHE,Government,N,N,1-488164671,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Puducherry,1
1-44640717709,WOMEN'S POLYTECHNIC COLLEGE (GOVT. OF PUDUCHERRY),"TEMPORARY ADDRESS : KARAIKALMEDU KARAIKAL 609 602 PERMANENT ADDRESS : KEEZHAYUR VILLAGE, THIRUNALLAR TALUK, KARAIKAL",KARAIKAL,Government,Y,N,1-412355991,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Puducherry,1
1-44640384161,SRI GANESH COLLEGE OF ENGINEERING AND TECHNOLOGY,KEELPARIKALPATTU ROAD KEELPARIKALPATTU MULLODAI MANAPET   POST BAHOUR PUDUCHERRY,PUDUCHERRY,Private-Self Financing,N,N,1-15572441,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Puducherry,1
1-44640398383,RAAK COLLEGE OF ENGINEERING AND TECHNOLOGY,"#1, MUTHUPILLAIPALAYAM ROAD, G.N. PALAYAM, PUDUCHERRY - 605010",PUDUCHERRY,Private-Self Financing,N,N,1-2183471891,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Puducherry,1
1-44640360238,MOTILAL NEHRU GOVERNMENT POLYTECHNIC COLLEGE,LAWSPET,PUDUCHERRY,Government,N,N,1-511311581,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Puducherry,1
1-44640968366,SRI VENKATESHWARAA COLLEGE OF ENGINEERING & TECHNOLOGY,"NO.13-A, PONDY-VILLUPURAM MAIN ROAD, ARIYUR (PANGUR),PUDUCHERRY -605102.",PUDUCHERRY,Private-Self Financing,N,Y,1-2194788061,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Puducherry,1
1-44641352294,DR.B.R.AMBEDKAR POLYTECHNIC COLLEGE,DRAKSHARAMA ROAD,YANAM,Government,N,N,1-486301191,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Puducherry,1
1-44641561181,RAJIV GANDHI COLLEGE OF ENGINEERING AND TECHNOLOGY,"RS NO.25, PONDY-CUDDALOR E E.C. ROAD, KIRUMAMPAKKAM, PUDUCHERRY - 607 402",PUDUCHERRY,Private-Self Financing,N,Y,1-4661421,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Puducherry,1
1-44642010085,PUDUCHERRY TECHNOLOGICAL UNIVERSITY,"PILLAICHAVADI, PUDUCHERRY - 605014",PUDUCHERRY,Government,N,N,1-7842176,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Puducherry,1
1-44642301144,MANAKULA VINAYAGAR INSTITUTE OF TECHNOLOGY,"KALITHEERTHAL KUPPAM, MADAGADIPET, PONDICHERRY. PIN CODE-  605 107",PUDUCHERRY,Private-Self Financing,N,Y,1-4337601,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Puducherry,1
