institute_id,institute_name,address,district,institution_type,women_only,minority,parent_id,method,year,program,level,institutiontype,Women,Minority,state,course
1-44638569766,NATIONAL INSTITUTE OF ELECTRONICS AND INFORMATION TECHNOLOGY -  AGARTALA,"R.K.NAGAR (OPPOSITE NEEPCO), KHAYERPUR",WEST TRIPURA,Government,N,N,1-3405873631,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Tripura,1
1-44638318151,TTAADC POLYTECHNIC INSTITUTE,"BESIDE TSR CAMP,P.O.:RADHAPUR, KHUMULWNG, TTAADC HQ. COMPLEX",WEST TRIPURA,Government,N,N,1-2846173691,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Tripura,1
1-44638186655,TRIPURA UNIVERSITY,SURYAMANINAGAR,WEST TRIPURA,Central University,N,N,1-2518088841,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Tripura,1
1-44638110727,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY AGARTALA,BODHJUNG NAGAR SUB DIVISION MOHANPUR,WEST TRIPURA,Government,N,N,1-7480060115,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Tripura,1
1-44639357864,GOMATI DISTRICT POLYTECHNIC,"P.O: R. K. PUR, UDAIPUR, FULKUMARI, GOMATI DISTRICT TRIPURA.",SOUTH TRIPURA,Government,N,N,1-1504712991,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Tripura,1
1-44639906755,DHALAI DISTRICT POLYTECHNIC,"AMBASSA, DHALAI, TRIPURA:-799289",DHALAI,Government,N,N,1-851152151,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Tripura,1
1-44640190697,TECHNO COLLEGE OF ENGINEERING AGARTALA,"MAHESHKHOLA, PO:ANANDANAGAR, PS: AMTALI,",WEST TRIPURA,Private-Self Financing,N,N,1-2185717431,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Tripura,1
1-44641180387,WOMEN'S POLYTECHNIC,"P.O:- AMTALI, VIA SEKERKOTE, WEST TRIPURA, INDIA, PIN- 799130",WEST TRIPURA,Government,Y,N,1-483524131,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Tripura,1
1-44641404402,TRIPURA INSTITUTE OF TECHNOLOGY (ERSTWHILE POLYTECHNIC INSTITUTE),"PO: AGARTALA AERODROME, NARSINGARH, AGARTALA, TRIPURA (WEST), TRIPURA 799009",WEST TRIPURA,Government,N,N,1-783273961,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Tripura,1
1-44641036167,NORTH TRIPURA DISTRICT POLYTECHNIC,"P.O:BAGBASSA, DHARMANAGAR, NORTH TRIPURA, 799253",NORTH TRIPURA,Government,N,N,1-2088584641,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Tripura,1
1-44643788221,TECHNO INDIA UNIVERSITY TRIPURA,"VILL- MAHESHKHOLA, PO- ANANDANAGAR, PS- AMTALI",WEST TRIPURA,Private-Self Financing,N,N,1-43714584017,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Tripura,1
1-44642934677,TRIPURA INSTITUTE OF TECHNOLOGY,"TRIPURA INSTITUTE OF TECHNOLOGY, PO NARSINGATH AERODROME,",WEST TRIPURA,Government,N,N,1-35360061,fetchdata,2025-2026,Engineering and Technology,1,1,1,1,Tripura,1
