year,baseline_S,baseline_E,baseline_U,baseline_M,baseline_W,baseline_Y,quality_S,quality_E,quality_U,quality_M,quality_W,quality_Y,seatcap_S,seatcap_E,seatcap_U,seatcap_M,seatcap_W,seatcap_Y
2024,1140716,2915142,25678272,10317208,6574,-9.755310430095172,1140716,2915142,25678272,10317208,6574,-9.755310430095172,1140716,2915142,25678272,10317208,6574,-9.755310430095172
2025,870313,2978522,28613624,11525998,1000,-10.0,870313,2978522,28613624,11344093,1000,-10.0,870313,2978522,28613624,11544655,1000,-10.0
2026,668250,3004951,31613064,12661057,1000,-10.0,667659,3004951,31613064,12502980,1000,-10.0,666033,3004951,31613064,12708308,1000,-10.0
2027,517479,3004238,34646641,13791765,1000,-10.0,515818,3004153,34646641,13652919,1000,-10.0,512823,3003919,34646641,13978445,1000,-10.0
2028,405215,2983737,37692240,15027953,1000,-10.0,402088,2983412,37692177,14913105,1000,-10.0,397916,2982746,37692005,15166439,1000,-10.0
2029,321872,2948959,40733618,16217513,1000,-10.0,316942,2948183,40733318,16140723,1000,-10.0,311735,2946916,40732660,16455825,1000,-10.0
2030,260262,2904034,43758935,17473420,1000,-10.0,253237,2902547,43758073,17358563,1000,-10.0,247100,2900530,43756497,17692002,1000,-10.0
2031,214998,2852056,46759652,18566154,1000,-10.0,205613,2849557,46757717,18534331,1000,-10.0,198623,2846656,46754690,18769495,1000,-10.0
2032,182041,2795346,49729701,19753412,1000,-10.0,170052,2791494,49725971,19693192,1000,-10.0,162266,2787586,49720872,19895294,1000,-10.0
2033,158362,2735641,52664867,20854447,1000,-10.0,143539,2730061,52658385,20908835,1000,-10.0,134998,2725031,52650514,20997732,1000,-10.0
2034,141695,2674243,55562324,21945096,1000,-10.0,123815,2666527,55551876,21997260,1000,-10.0,114547,2660266,55540463,22084151,1000,-10.0
2035,130341,2612128,58420284,22951364,1000,-10.0,109184,2601835,58404379,23167015,1000,-10.0,99209,2594238,58388591,23255416,1000,-10.0
2036,123028,2550029,61237739,24080538,1000,-10.0,98373,2536687,61214593,24154363,1000,-10.0,87705,2527652,61193537,24314595,1000,-10.0
2037,118807,2488495,64014264,25125747,1000,-10.0,90430,2471599,63981782,25194104,1000,-10.0,79077,2461027,63954507,25285924,1000,-10.0
2038,116969,2427938,66749870,26161661,1000,-10.0,84640,2406952,66705629,26191348,1000,-10.0,72606,2394744,66671129,26326154,1000,-10.0
2039,116983,2368671,69444898,27079133,1000,-10.0,80465,2343026,69386129,27177913,1000,-10.0,67753,2329084,69343347,27326872,1000,-10.0
2040,118457,2310929,72099934,27989369,1000,-10.0,77504,2280021,72023504,28198257,1000,-10.0,64113,2264247,71971331,28221896,1000,-10.0
